"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Habitat";"Libellé Habitat";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
263275;"Perharidy_02/08/2016_13:25_Michaël Tanghe_8934";263276;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:25";5;;;"";
263289;"Beg Lann_CDB_03/08/2016_11:25_LV_10898";263290;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"11:25";0;;;"";
263293;"Boed_HRB_03/08/2016_13:45_LV_10722";263294;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"01:45";0;;;"";
263313;"Beg Lann_CDB_04/08/2016_12:15_LV_10899";263314;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"12:15";25;;;"";
263317;"Boed_HRB_04/08/2016_14:20_LV_10723";263318;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"02:20";7;;;"";
263339;"La Falaise_CDB_05/08/2016_12:30_LV_10952";263340;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"12:30";22;;;"";
263353;"Perharidy_07/08/2016_16:30_Michaël Tanghe_8940";263354;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"04:30";10;7;3;"Promeneurs, joggeurs";
263369;"Boed_HRB_08/08/2016_17:02_LV_10724";263370;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"05:02";12;;;"";
263561;"Boed_HRB_17/08/2016_12:12_LV_10725";263562;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"12:12";0;;;"";
263623;"Beg Lann_CDB_18/08/2016_11:10_LV_10900";263624;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"11:10";0;;;"";
263629;"Boed_HRB_18/08/2016_13:15_LV_10726";263630;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"01:15";4;;;"";
263681;"Beg Lann_CDB_19/08/2016_11:50_LV_10901";263682;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"11:50";3;;;"";
263687;"Boed_HRB_19/08/2016_14:00_LV_10727";263688;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"02:00";12;;;"";
263745;"MOUSTERLIN_CDB_19/08/2016_11:45_MLR_11097";263746;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";"11:45";0;;;"";
263747;"Perharidy_19/08/2016_13:00_Michaël Tanghe_8945";263748;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:00";25;21;4;"";
263763;"SAINT-NICOLAS / BANNANEC_CDB_19/08/2016_11:15_MLG - NM_11098";263764;"Finistère Sud";"FINS_12_CDB";"Saint-Nicolas des Glénan (champ de blocs)";"11:15";0;;;"";
263765;"SAINT-NICOLAS / BANNANEC_HRBHAB_19/08/2016_11:15_MLG - NM_11121";263766;"Finistère Sud";"FINS_12_HRB";"Saint-Nicolas des Glénan (herbier)";"11:15";0;;;"";
263923;"Champ de blocs de Kéraliou_20/08/2016_13:05_F.Opperman_5936";263924;"Rade de Brest";"BRES_03_CDB";"Keraliou (champ de blocs)";"01:05";3;;;"";
263925;"Champeaux_20/08/2016_NA_AAMP_7177";263926;"Golfe Normand Breton";"GONB_04B_HRM";"Récifs d'hermelles de Champeaux (Plage St Michel à  la cabane Vauban de Champeaux)";;838;;;"";
263995;"Herbier de Kernisi_20/08/2016_13:05_F.Opperman_5937";263996;"Rade de Brest";"BRES_03_HRB";"Kernisi (herbier)";"01:05";2;;;"";
263997;"Herbier_des_Haas_20/08/2016_NA_Saint_Jacut_Environnement_7175";263998;"Golfe Normand Breton";"GONB_01C_HRB";"Les Haas (herbier)";;95;;;"";
264155;"MOUSTERLIN_CDB_20/08/2016_12:45_MLR_11099";264156;"Finistère Sud";"FINS_02_CDB";"Pointe de Mousterlin (champ de blocs)";"12:45";5;;;"";
264163;"Perharidy_20/08/2016_14:26_Andrea Lauro_8962";264164;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"02:26";38;35;3;"Promeneurs, joggeurs";
264285;"Sainte-Anne_20/08/2016_NA_AAMP_7179";264286;"Golfe Normand Breton";"GONB_03E_HRM";"Récifs d'hermelles de Sainte-Anne";;11;;;"";
264299;"SAINT-NICOLAS / BANNANEC_CDB_20/08/2016_12:00_MLG - NM_11100";264300;"Finistère Sud";"FINS_12_CDB";"Saint-Nicolas des Glénan (champ de blocs)";"12:00";0;;;"";
264301;"SAINT-NICOLAS / BANNANEC_HRBHAB_20/08/2016_12:00_MLG - NM_11122";264302;"Finistère Sud";"FINS_12_HRB";"Saint-Nicolas des Glénan (herbier)";"12:00";0;;;"";
264333;"Erquy_CDB_21/08/2016_16:32_AAMP_7137";264334;"Golfe Normand Breton";"GONB_00C1_CDB";"Champs de blocs de l'îlot Saint-Michel (périmètre étendu)";"04:32";2;;;"";
264349;"Perharidy_21/08/2016_13:00_Michaël Tanghe_8965";264350;"Pays de Morlaix";"MORL_03_CDB";"Perharidy (champ de blocs)";"01:00";52;43;9;"";
264367;"La Falaise_CDB_22/08/2016_14:08_LV_10953";264368;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"02:08";105;;;"";
264387;"La Falaise_CDB_23/08/2016_14:51_LV_10954";264388;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"02:51";21;;;"";
264399;"Beg Lann_CDB_24/08/2016_15:40_LV_10902";264400;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"03:40";0;;;"";
264403;"Boed_HRB_24/08/2016_17:35_LV_10728";264404;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"05:35";12;;;"";
264465;"Herbier_des_Haas_29/08/2016_11:22_AAMP_7139";264466;"Golfe Normand Breton";"GONB_01C_HRB";"Les Haas (herbier)";"11:22";4;;;"";
264477;"La Falaise_CDB_29/08/2016_08:53_LV_10955";264478;"Golfe du Morbihan";"GDMO_01_CDB";"Locmariaquer (champ de blocs)";"08:53";0;;;"";
264505;"Beg Lann_CDB_30/08/2016_09:36_LV_10903";264506;"Golfe du Morbihan";"GDMO_04_CDB";"Beg Lann (champ de blocs)";"09:36";0;;;"";
264509;"Boed_HRB_30/08/2016_11:44_NA_10729";264510;"Golfe du Morbihan";"GDMO_03_HRB";"Boëd (herbier)";"11:44";0;;;"";
