"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
260949;"Plage Oceane_07/05/2016_11:50_Patrick Lapouyade_1928";260950;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_2";"Plage Océane";"11:50";;0;;;"";
260955;"Pointe d_Arcay_07/05/2016_10:55_Lucien et Jeanne Quairault_4544";260956;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_021";"La Belle Henriette - Pointe d'Arcay";"EGMP_021_2";"Pointe d'Arcay";"10:55";;0;;;"";
260959;"Pointe de Digolet_07/05/2016_10:10_Anne Clément Thimel_3872";260960;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_031-032";"Nieul sur mer (Lauzières-Digolet)";"EGMP_031";"Pointe de Digolet";"10:10";;26;;;"";
260961;"Pointe de l_Aiguillon_07/05/2016_11:40_Lucien et Jeanne Quairault_4562";260962;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_023-024";"Pointe de l'Aiguillon - Plage de la Batterie";"EGMP_023";"Pointe de l'Aiguillon";"11:40";;98;;;"";
260965;"Pointe de la Republique_07/05/2016_10:52_Elisabeth Grossoleil_1180";260966;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_014-015";"Pointes du Grouin du Cou et de la République";"EGMP_015";"Pointe de la République";"10:52";;44;;;"";
260973;"Pointe du Grouin du Cou_07/05/2016_11:55_Elisabeth Grossoleil_1196";260974;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_014-015";"Pointes du Grouin du Cou et de la République";"EGMP_014";"Pointe du Grouin du Cou";"11:55";;100;;;"";
260975;"Pointe du Payre_07/05/2016_11:40_Baptiste Drouin_4572";260976;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_004";"Pointe du Payré - Plage de la Mine";"EGMP_004_1";"Pointe du Payré";"11:40";;7;;;"";
260977;"Pointe du Roux_07/05/2016_11:40_Loeiza Lancelot_3994";260978;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_074-075-076";"Aytre";"EGMP_074";"Pointe du Roux";"11:40";;2;;;"";
260985;"Port de Jard_07/05/2016_10:40_Judith Chevalier_4694";260986;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_005";"Rochers et port de Jard";"EGMP_005_3";"Port de Jard";"10:40";;22;;;"";
260989;"Ragounite_07/05/2016_10:40_Judith Chevalier_4700";260990;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_005";"Rochers et port de Jard";"EGMP_005_1";"Ragounite";"10:40";;57;;;"";
260995;"Rocher de St Nicolas_07/05/2016_12:15_Joy Versterren_1940";260996;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_158";"Maison à pointe de Grave";"EGMP_158_3";"Rocher de Saint-Nicolas";"12:15";;0;;;"";
261003;"Sud Minimes_07/05/2016_11:20_Loeiza Lancelot_4042";261004;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_072-073";"Besselue - Sud Minimes";"EGMP_072";"Sud Minimes";"11:20";;77;;;"";
261011;"BANC DE L_ILE CHEVALIER_08/05/2016_12:16_PC_9708";261012;"Finistère Sud";"FINS_42";"Rivière de Pont l'Abbé";"FINS_42A";"Rivière de Pont l'Abbé - Île Chevalier";"12:16";;140;;;"";
261013;"COMBRIT_08/05/2016_12:16_PC_9710";261014;"Finistère Sud";"FINS_42";"Rivière de Pont l'Abbé";"FINS_42C";"Rivière de Pont l'Abbé - Combrit";"12:16";;10;;;"";
261015;"ILE TUDY_08/05/2016_12:16_PC_9709";261016;"Finistère Sud";"FINS_42";"Rivière de Pont l'Abbé";"FINS_42B";"Rivière de Pont l'Abbé - île Tudy";"12:16";;138;;;"";
261019;"Piégu_08/05/2016_15:10_Jérémy Allain_8718";261020;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_042";"Piégu";"03:10";;3;;;"";
261023;"RNN Banc d_Arguin Zone C_08/05/2016_12:30_SEPANSO_10578";261024;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_C";"RNN banc d'Arguin - Centre";"12:30";;0;;;"";
261025;"RNN Banc d_Arguin Zone N_08/05/2016_12:30_SEPANSO_10498";261026;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_N";"RNN banc d'Arguin - Nord";"12:30";;0;;;"";
261027;"RNN Banc d_Arguin Zone S_08/05/2016_12:30_SEPANSO_10659";261028;"Bassin d'Arcachon";"BARC_01";"RNN banc d'Arguin";"BARC_01_S";"RNN banc d'Arguin - Sud";"12:30";;1;;;"";
261031;"Verdelet_08/05/2016_15:10_Jérémy Allain_8719";261032;"Côtes d'Armor";"ARMO_042-043";"Piégu / Verdelet";"ARMO_043";"Verdelet";"03:10";;30;;;"";
261043;"BANC DE L_ILE CHEVALIER_09/05/2016_13:30_PC_9725";261044;"Finistère Sud";"FINS_42";"Rivière de Pont l'Abbé";"FINS_42A";"Rivière de Pont l'Abbé - Île Chevalier";"01:30";;20;;;"";
261047;"Besselue_09/05/2016_13:25_Loeiza Lancelot_3564";261048;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_072-073";"Besselue - Sud Minimes";"EGMP_073";"Besselue";"01:25";;0;;;"";
261053;"COMBRIT_09/05/2016_13:30_PC_9727";261054;"Finistère Sud";"FINS_42";"Rivière de Pont l'Abbé";"FINS_42C";"Rivière de Pont l'Abbé - Combrit";"01:30";;3;;;"";
261059;"Goaz-Trez_09/05/2016_14:10_Jérémy Allain_7995";261060;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_138";"Goaz Trez";"02:10";;2;;;"";
261061;"ILE TUDY_09/05/2016_13:30_PC_9726";261062;"Finistère Sud";"FINS_42";"Rivière de Pont l'Abbé";"FINS_42B";"Rivière de Pont l'Abbé - île Tudy";"01:30";;39;;;"";
261069;"La Bree_09/05/2016_13:00_Sarah Olivier_2607";261070;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_114";"La Brée et la Balise";"EGMP_114_1";"La Brée";"01:00";;7;;;"";
261075;"Les Arros_09/05/2016_12:48_Joy_1741";261076;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_2";"Les Arros";"12:48";;0;0;0;"";
261077;"Les Cantines_09/05/2016_13:08_Joy_1839";261078;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_1";"Les Cantines";"01:08";;3;3;0;"";
261093;"Rulosquet_09/05/2016_14:10_Jérémy Allain_7997";261094;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_137";"Rulosquet";"02:10";;0;;;"";
261103;"Toëno_09/05/2016_14:10_Jérémy Allain_7996";261104;"Côtes d'Armor";"ARMO_136-137-138";"Goaz Trez / Toëno";"ARMO_136";"Toëno";"02:10";;5;;;"";
261115;"Besselue_12/05/2016_15:52_Loeiza Lancelot_3565";261116;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_072-073";"Besselue - Sud Minimes";"EGMP_073";"Besselue";"03:52";;0;;;"";
261119;"La Belle Henriette_12/05/2016_15:06_Pauline Momot_4337";261120;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_021";"La Belle Henriette - Pointe d'Arcay";"EGMP_021_1";"La Belle Henriette";"03:06";;0;;;"";
261121;"La Bree_12/05/2016_16:02_Zachary Gaudin_2608";261122;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_114";"La Brée et la Balise";"EGMP_114_1";"La Brée";"04:02";;9;;;"";
261129;"Banc de praires_16/05/2016_NR_Franck Delisle_8286";261130;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_153";"Port-Lazo - banc de praires, La Chèvre";;;0;;;"";
261131;"Pointe de Bilfot_16/05/2016_NR_Franck Delisle_8285";261132;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_078";"Pointe de Bilfot";;;0;;;"";
261133;"Port Lazo_16/05/2016_NR_Franck Delisle_8284";261134;"Côtes d'Armor";"ARMO_078-082-153";"Port Lazo / Pointe de Bilfot";"ARMO_082";"Port Lazo - parcs à  huîtres";;;0;;;"";
261135;"La Bree_17/05/2016_09:00_Sarah Olivier_2609";261136;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_114";"La Brée et la Balise";"EGMP_114_1";"La Brée";"09:00";;3;;;"";
261153;"La Belle Henriette_19/05/2016_09:30_Pauline Momot_4338";261154;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_021";"La Belle Henriette - Pointe d'Arcay";"EGMP_021_1";"La Belle Henriette";"09:30";;0;;;"";
261155;"Les Arros_19/05/2016_09:42_Joy_1742";261156;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_2";"Les Arros";"09:42";;0;0;0;"";
261157;"Les Cantines_19/05/2016_10:01_Joy_1840";261158;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_151";"Les Cantines - Les Arros - Les Olives";"EGMP_151_1";"Les Cantines";"10:01";;0;0;0;"";
261173;"Besselue_21/05/2016_11:30_Loeiza Lancelot_3566";261174;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_072-073";"Besselue - Sud Minimes";"EGMP_073";"Besselue";"11:30";;3;;;"";
