"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
261771;"La Hume_08/06/2016_14:30_DM + BB_10349";261772;"Bassin d'Arcachon";"BARC_07";"La Hume";"02:30";13;12;1;12;1;;;;;"Pêche à pied professionnelle | Promeneurs, joggeurs";"1 avec patins"
261773;"Clemenceau_09/06/2016_14:15_Manon Charpentier_4258";261774;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_007";"Clémenceau";"02:15";1;;;;;;;;;"Promeneurs, joggeurs";
261775;"La Falaise_09/06/2016_14:35_LV_7673";261776;"Golfe du Morbihan";"GDMO_01";"La falaise";"02:35";41;39;2;41;0;;;;;"";
261783;"Pereire_09/06/2016_15:00_DM + BB_10350";261784;"Bassin d'Arcachon";"BARC_04";"Pereire";"03:00";7;5;2;;;;;;;"Promeneurs, joggeurs | Autres pêches de loisir";
261785;"Rochers et port de Jard_09/06/2016_13:50_Manon Charpentier_4804";261786;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_005";"Rochers et port de Jard";"01:50";7;;;;;;;;;"Promeneurs, joggeurs | Plagistes, baigneurs | Autres pêches de loisir";
261787;"Fort de la pointe_10/06/2016_16:10_Coline Dumas_158";261788;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_091";"Fort de la Pointe";"04:10";0;0;0;0;0;;;;;"";
261789;"L_aiguille (zone interdite)_10/06/2016_15:30_Coline Dumas_485";261790;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_089";"L'aiguille (zone interdite)";"03:30";0;0;0;0;0;;;;;"";
261791;"L_aiguille (zone ouverte)_10/06/2016_16:05_Coline Dumas_584";261792;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_088";"L'aiguille (zone ouverte)";"04:05";0;0;0;0;0;;;;;"";
261793;"L_Esperance_10/06/2016_16:10_Coline Dumas_814";261794;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_090";"L'Espérance";"04:10";0;0;0;0;0;;;;;"";
261795;"Plage Nord (zone interdite)_10/06/2016_15:25_Coline Dumas_913";261796;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_085";"Plage Nord (zone interdite)";"03:25";0;0;0;0;0;;;;;"";
