"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2018-09-28-EGMP-SEN-019";"2018-09-28_EGMP_137_384863";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-09-28-EGMP-SEN-020";"2018-09-28_EGMP_137_384869";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-09-28-EGMP-SEN-021";"2018-09-28_EGMP_137_384875";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-07-13-GONB-SEN-163";"2018-07-13_GONB_05G_384881";;;;"Ne sait pas";;;"Non";;;;;"Ne sait pas";;;"Réponse incorrecte ou NSP";;"Ne sait pas";;"Ne sait pas";;"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";
"2018-07-13-GONB-SEN-163";"2018-07-13_GONB_05G_384893";;;"Coques";"Oui";27;"Réponse correcte";"Oui";"Commerce";"Pied à coulisse FNPPSF";"Oui";"Coques";"Oui";100;"Nb";"Réponse correcte";"Coques";"Oui";"Toute l'année";"Réponse correcte";;"Association de plaisanciers | Internet / Applications mobiles";
"2018-10-24-EGMP-SEN-001";"2018-10-24_EGMP_148_384895";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-003";"2018-10-24_EGMP_148_384901";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-004";"2018-10-24_EGMP_148_384907";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-005";"2018-10-24_EGMP_148_384913";;;;;;;"Non";;;;;;;;;;;;;;"";
"2018-10-24-EGMP-SEN-006";"2018-10-24_EGMP_148_384919";;;;;;;"Non";;;;;;;;;;;;;;"";
