departement;nom;commune;nom_reel;code_postal;num_INSEE;longitude;latitude
1;OZAN;ozan;Ozan;1190;1284;4.91667;46.3833
1;CORMORANCHE-SUR-SAONE;cormoranche sur saone;Cormoranche-sur-Saône;1290;1123;4.83333;46.2333
1;PLAGNE;plagne;Plagne;1130;1298;5.73333;46.1833
1;TOSSIAT;tossiat;Tossiat;1250;1422;5.31667;46.1333
1;POUILLAT;pouillat;Pouillat;1250;1309;5.43333;46.3333
1;TORCIEU;torcieu;Torcieu;1230;1421;5.4;45.9167
1;REPLONGES;replonges;Replonges;1620;1320;4.88333;46.3
1;CORCELLES;corcelles;Corcelles;1110;1119;5.58333;46.0333
1;PERON;peron;Péron;1630;1288;5.93333;46.2
1;RELEVANT;relevant;Relevant;1990;1319;4.95;46.0833
1;CHAVEYRIAT;chaveyriat;Chaveyriat;1660;1096;5.06667;46.1833
1;VAUX-EN-BUGEY;vaux en bugey;Vaux-en-Bugey;1150;1431;5.35;45.9167
1;MAILLAT;maillat;Maillat;1430;1228;5.55;46.1333
1;FARAMANS;faramans;Faramans;1800;1156;5.11667;45.9
1;BEON;beon;Béon;1350;1039;5.75;45.8333
1;SAINT-BERNARD;saint bernard;Saint-Bernard;1600;1339;4.73723;45.945
1;ROSSILLON;rossillon;Rossillon;1510;1329;5.6;45.8333
1;PONT-D'AIN;pont d ain;Pont-d'Ain;1160;1304;5.33333;46.05
1;NANTUA;nantua;Nantua;1460;1269;5.61667;46.15
1;CHAVANNES-SUR-REYSSOUZE;chavannes sur reyssouze;Chavannes-sur-Reyssouze;1190;1094;5;46.4333
1;NEUVILLE-LES-DAMES;neuville les dames;Neuville-les-Dames;1400;1272;5;46.1667
1;FLAXIEU;flaxieu;Flaxieu;1350;1162;5.73333;45.8167
1;HOTONNES;hotonnes;Hotonnes;1260;1187;5.68333;46
1;SAINT-SORLIN-EN-BUGEY;saint sorlin en bugey;Saint-Sorlin-en-Bugey;1150;1386;5.36667;45.8833
1;SONGIEU;songieu;Songieu;1260;1409;5.7;45.9667
1;VIRIEU-LE-PETIT;virieu le petit;Virieu-le-Petit;1260;1453;5.71667;45.9
1;SAINT-DENIS-EN-BUGEY;saint denis en bugey;Saint-Denis-en-Bugey;1500;1345;5.33333;45.95
1;CHARNOZ-SUR-AIN;charnoz sur ain;Charnoz-sur-Ain;1800;1088;5.21667;45.8667
1;CHAZEY-SUR-AIN;chazey sur ain;Chazey-sur-Ain;1150;1099;5.25;45.9
1;MARCHAMP;marchamp;Marchamp;1680;1233;5.55;45.7833
1;CULOZ;culoz;Culoz;1350;1138;5.78333;45.85
1;MANTENAY-MONTLIN;mantenay montlin;Mantenay-Montlin;1560;1230;5.08333;46.4167
1;MARBOZ;marboz;Marboz;1851;1232;5.25;46.3333
1;FOISSIAT;foissiat;Foissiat;1340;1163;5.18333;46.3667
1;TREFFORT-CUISIAT;treffort cuisiat;Treffort-Cuisiat;1370;1426;5.36834;46.2714
1;IZIEU;izieu;Izieu;1300;1193;5.63333;45.65
1;SAINT-ETIENNE-DU-BOIS;saint etienne du bois;Saint-Étienne-du-Bois;1370;1350;5.28333;46.2833
1;HAUTEVILLE-LOMPNES;hauteville lompnes;Hauteville-Lompnes;1110;1185;5.6;45.9667
1;SAINT-TRIVIER-SUR-MOIGNANS;saint trivier sur moignans;Saint-Trivier-sur-Moignans;1990;1389;4.9;46.0667
1;PEYRIAT;peyriat;Peyriat;1430;1293;5.51667;46.15
1;EVOSGES;evosges;Évosges;1230;1155;5.5;45.9583
1;PONCIN;poncin;Poncin;1450;1303;5.4;46.0833
1;CRANS;crans;Crans;1320;1129;5.21667;45.9667
1;MONTREAL-LA-CLUSE;montreal la cluse;Montréal-la-Cluse;1460;1265;5.57084;46.1867
1;CLEYZIEU;cleyzieu;Cleyzieu;1230;1107;5.43333;45.9
1;LOMPNIEU;lompnieu;Lompnieu;1260;1221;5.65;45.9667
1;VILLEREVERSURE;villereversure;Villereversure;1250;1447;5.38333;46.1833
1;SAINT-MARTIN-DU-MONT;saint martin du mont;Saint-Martin-du-Mont;1160;1374;5.33333;46.1
1;SAINT-GENIS-POUILLY;saint genis pouilly;Saint-Genis-Pouilly;1630;1354;6.01667;46.25
1;BOLOZON;bolozon;Bolozon;1450;1051;5.48333;46.2
1;CONFRANCON;confrancon;Confrançon;1310;1115;5.06667;46.2667
1;LOCHIEU;lochieu;Lochieu;1260;1218;5.71667;45.9333
1;CHANOZ-CHATENAY;chanoz chatenay;Chanoz-Châtenay;1400;1084;5.03333;46.1833
1;VILLEBOIS;villebois;Villebois;1150;1444;5.43333;45.85
1;CEIGNES;ceignes;Ceignes;1430;1067;5.5;46.1167
1;SAINT-DIDIER-SUR-CHALARONNE;saint didier sur chalaronne;Saint-Didier-sur-Chalaronne;1140;1348;4.81667;46.1667
1;REVONNAS;revonnas;Revonnas;1250;1321;5.33333;46.1667
1;BOURG-SAINT-CHRISTOPHE;bourg saint christophe;Bourg-Saint-Christophe;1800;1054;5.16667;45.8833
1;CONDEISSIAT;condeissiat;Condeissiat;1400;1113;5.08333;46.1667
1;PIRAJOUX;pirajoux;Pirajoux;1270;1296;5.3;46.3833
1;CHALAMONT;chalamont;Chalamont;1320;1074;5.16667;46
1;LE PLANTAY;le plantay;Le Plantay;1330;1299;5.08333;46.0167
1;VERSAILLEUX;versailleux;Versailleux;1330;1434;5.1;45.9833
1;MONTAGNAT;montagnat;Montagnat;1250;1254;5.28333;46.1667
1;VIEU;vieu;Vieu;1260;1442;5.68333;45.9
1;SAINT-ANDRE-DE-CORCY;saint andre de corcy;Saint-André-de-Corcy;1390;1333;4.95;45.9167
1;BRESSOLLES;bressolles;Bressolles;1360;1062;5.1;45.8667
1;PERONNAS;peronnas;Péronnas;1960;1289;5.2;46.1833
1;COLOMIEU;colomieu;Colomieu;1300;1110;5.61667;45.7333
1;MONTHIEUX;monthieux;Monthieux;1390;1261;4.93333;45.95
1;SAINT-JEAN-SUR-REYSSOUZE;saint jean sur reyssouze;Saint-Jean-sur-Reyssouze;1560;1364;5.06667;46.4
1;GARNERANS;garnerans;Garnerans;1140;1167;4.83333;46.2
1;MONTREVEL-EN-BRESSE;montrevel en bresse;Montrevel-en-Bresse;1340;1266;5.13333;46.3333
1;CONAND;conand;Conand;1230;1111;5.46667;45.8833
1;CHALLES-LA-MONTAGNE;challes la montagne;Challes-la-Montagne;1450;1077;5.46667;46.1333
1;MOGNENEINS;mogneneins;Mogneneins;1140;1252;4.81667;46.1333
1;THOISSEY;thoissey;Thoissey;1140;1420;4.8;46.1667
1;CHALEINS;chaleins;Chaleins;1480;1075;4.8;46.0333
1;NEUVILLE-SUR-AIN;neuville sur ain;Neuville-sur-Ain;1160;1273;5.36667;46.0833
1;THIL;thil;Thil;1120;1418;5.01667;45.8167
1;JUJURIEUX;jujurieux;Jujurieux;1640;1199;5.41667;46.0333
1;ONCIEU;oncieu;Oncieu;1230;1279;5.46667;45.95
1;LURCY;lurcy;Lurcy;1090;1225;4.76667;46.0667
1;BALAN;balan;Balan;1360;1027;5.1;45.8333
1;AMBUTRIX;ambutrix;Ambutrix;1500;1008;5.33333;45.9333
1;SAINTE-CROIX;sainte croix;Sainte-Croix;1120;1342;5.05195;45.8942
1;BLYES;blyes;Blyes;1150;1047;5.25;45.85
1;CONZIEU;conzieu;Conzieu;1300;1117;5.6;45.7333
1;NIEVROZ;nievroz;Niévroz;1120;1276;5.06667;45.8333
1;NURIEUX-VOLOGNAT;nurieux volognat;Nurieux-Volognat;1460;1267;5.52667;46.1856
1;AMBLEON;ambleon;Ambléon;1300;1006;5.6;45.75
1;SAINT-MAURICE-DE-GOURDANS;saint maurice de gourdans;Saint-Maurice-de-Gourdans;1800;1378;5.2;45.8167
1;CHEZERY-FORENS;chezery forens;Chézery-Forens;1200;1104;5.88333;46.2167
1;SAULT-BRENAZ;sault brenaz;Sault-Brénaz;1150;1396;5.41667;45.85
1;MURS-ET-GELIGNIEUX;murs et gelignieux;Murs-et-Gélignieux;1300;1268;5.66667;45.6333
1;LE PETIT-ABERGEMENT;le petit abergement;Le Petit-Abergement;1260;1292;5.65;46.0333
1;CORMOZ;cormoz;Cormoz;1560;1124;5.23333;46.45
1;SAINT-MARTIN-DE-BAVEL;saint martin de bavel;Saint-Martin-de-Bavel;1510;1372;5.68333;45.85
1;SAINT-TRIVIER-DE-COURTES;saint trivier de courtes;Saint-Trivier-de-Courtes;1560;1388;5.08333;46.4667
