"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"Arcouest_01/03/2014_Christelle Barth_1";;"Non renseigné";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Commerce";;;;"Oui";;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_01/03/2014_Dominique Rault_1";;"Non renseigné";;"Praire";"espèce sans maille";30;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Oui"
"Arcouest_01/03/2014_Dominique Rault_2";;"Non renseigné";;"Praire";"espèce sans maille";30;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Oui"
"Arcouest_01/03/2014_Franck Delisle_1";;"Non renseigné";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;"Praire";"Oui";24;;;;;;;"Oui";"Annuaire des marées | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_01/03/2014_Franck Delisle_2";;"Non renseigné";;"Praire";"espèce sans maille";45;"Réponse incorrecte ou NSP";"Oui";"Artisanal";;;;"Oui";20;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Oui"
"Arcouest_01/03/2014_Franck Delisle_3";;"Non renseigné";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Anatomique (phalange, largeur de paume, pouce…)";;;"Coquille Saint-Jacques";"Oui";21;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Internet / Applications mobiles";"Non renseigné"
"Arcouest_02/04/2014_Franck Delisle_1";;"Non";;"Etrille";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Commerce";"Mesure graduée (pied à coulisse ou réglet)";;"Coquille Saint-Jacques";"Oui";30;;"Réponse correcte";;;;;"Oui";"Annuaire des marées";"Non renseigné"
"Arcouest_02/04/2014_Michel Laloi_1";;"Non";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Oui";"Panneau d'information/affichage";"Non renseigné"
"Arcouest_02/04/2014_Olivier Massard_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_02/04/2014_Olivier Massard_2";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Commerce";"Pied à coulisse FNPPSF";;"Praire";"Oui";100;;;;;;;"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Arcouest_02/04/2014_Olivier Massard_3";;"Non";;"Praire";"espèce sans maille";42;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Panneau d'information/affichage | Internet / Applications mobiles";"Oui"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_1";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_10";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_2";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_3";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_4";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_5";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_6";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_7";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Commerce";"Mesure graduée (pied à coulisse ou réglet)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_8";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Anne Priac&Stephanie Plaga Lemanski_9";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_1";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_2";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_3";;"Non renseigné";;;"espèce sans maille";;"Réponse inférieure";"Oui";"Campagne de sensibilisation";"Autre type de réglette";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_1";;"Non renseigné";;"Etrille";"espèce sans maille";65;"Réponse correcte";"Oui";"Artisanal";;;;"Oui";;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;"Non renseigné";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Reglette LIFE";;"Praire";"Oui";;;"Réponse correcte";;;;;"Oui";"Professionnels du tourisme";"Non renseigné"
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_3";;"Non renseigné";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_1";;"Non renseigné";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";;;;"Praire";"Oui";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_2";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_3";;"Non renseigné";;"Etrille";"espèce sans maille";65;"Réponse correcte";"Oui";"Artisanal";;;"Praire";"Oui";;;"Réponse correcte";;;;;"Oui";"Professionnels du tourisme";"Non renseigné"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_4";;"Non renseigné";;"Praire";"espèce sans maille";40;"Réponse ancienne valeur";"Oui";"Artisanal";;;"Palourdes";"Oui";;;"Réponse correcte";;;;;"Oui";"Annuaire des marées";"Non renseigné"
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_5";;"Non renseigné";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Campagne de sensibilisation";"Reglette LIFE";;"Praire";"Oui";;;"Réponse correcte";;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Arcouest_08/09/2014_Franck Delisle_1";;"Oui";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Artisanal";"Marque engin de pêche";;;"Ne sait pas";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_08/09/2014_Franck Delisle_2";;"Non";;"Praire";"espèce sans maille";30;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_08/09/2014_Franck Delisle_3";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Annuaire des marées";"Non renseigné"
"Arcouest_08/09/2014_Franck Delisle_4";;"Non";;"Praire";"espèce sans maille";40;"Réponse ancienne valeur";"Non";"Aucun outil";;;;;;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Arcouest_08/09/2014_Franck Delisle_5";;"Non";;"Bouquet commun";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Oui";"Campagne de sensibilisation | Professionnels du tourisme | Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_08/09/2014_Franck Delisle_6";;"Oui";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Artisanal";;;"Praire";"Oui";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Arcouest_08/09/2014_Franck Delisle_7";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_12/07/2014_Jean-Pierre Guillosson_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;"Praire";"Oui";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Oui"
"Arcouest_12/07/2014_Jean-Pierre Guillosson_2";;"Non";;"Coquille Saint-Jacques";"espèce sans maille";110;"Réponse correcte";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_12/07/2014_Jean-Pierre Guillosson_3";;"Non";;"Coquille Saint-Jacques";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Oui";"Annuaire des marées | Médias (journaux, radios, tv)";"Oui"
"Arcouest_12/07/2014_Jérémy Allain_1";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_12/07/2014_Jérémy Allain_2";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_12/07/2014_Jérémy Allain_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_12/07/2014_Jérémy Allain_4";;"Non";;"Palourdes";"espèce sans maille";35;"Réponse ancienne valeur";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Oui"
"Arcouest_12/07/2014_Jérémy Allain_5";;"Non renseigné";;;"espèce sans maille";;;"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_12/07/2014_Olivier Massard_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Professionnels du tourisme";"Oui"
"Arcouest_12/07/2014_Olivier Massard_2";;"Non";;"Bouquet commun";"espèce sans maille";40;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;"Praire";"Oui";100;;"Réponse correcte";;;;;"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Non renseigné"
"Arcouest_12/07/2014_Olivier Massard_3";;"Oui";"Binic";"Praire";"espèce sans maille";40;"Réponse ancienne valeur";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;"Ne sait pas";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Internet / Applications mobiles";"Oui"
"Arcouest_12/07/2014_Olivier Massard_4";;"Non";;"Bouquet commun";"espèce sans maille";50;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Arcouest_12/07/2014_Olivier Massard_5";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/07/2014_Franck Delisle_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Oui";;;;;;;;"Oui";"Internet / Applications mobiles";"Non renseigné"
"Arcouest_13/07/2014_Franck Delisle_2";;"Non";;"Bouquet commun";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;;;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_13/07/2014_Franck Delisle_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/07/2014_Franck Delisle_4";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Internet / Applications mobiles";"Non renseigné"
"Arcouest_13/07/2014_Franck Delisle_5";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/07/2014_Franck Delisle_6";;"Non";;"Praire";"espèce sans maille";42;"Réponse incorrecte ou NSP";"Oui";"Artisanal";"Marque engin de pêche";;"Praire";"Oui";100;;"Réponse correcte";;;;;"Oui";"Professionnels du tourisme";"Non renseigné"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_1";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;"Praire";"Oui";;;;;;;;"Non renseigné";"";"Non"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_2";;"Non";;"Palourdes";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;"Palourdes";"Oui";;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_3";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;"Ne sait pas";;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_4";;"Non";;"Bouquet commun";"espèce sans maille";45;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;"Bouquet commun";"Oui";300;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_13/07/2014_Jean-Pierre Guillosson_5";;"Non";;"Praire";"espèce sans maille";40;"Réponse ancienne valeur";"Non";"Aucun outil";;;"Praire";"Oui";;;"Réponse correcte";;;;;"Oui";"Internet / Applications mobiles";"Oui"
"Arcouest_13/07/2014_Olivier Massard_1";;"Non";;"Etrille";"espèce sans maille";65;"Réponse correcte";"Non";"Aucun outil";;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/07/2014_Olivier Massard_2";;"Non renseigné";;"Bouquet commun";"espèce sans maille";50;"Réponse correcte";;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/07/2014_Olivier Massard_3";;"Non";;"Praire";"espèce sans maille";45;"Réponse incorrecte ou NSP";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;"Ne sait pas";;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Arcouest_13/07/2014_Olivier Massard_4";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/07/2014_Olivier Massard_5";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Arcouest_13/07/2014_Olivier Massard_6";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;"Ne sait pas";;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Arcouest_13/07/2014_Olivier Massard_7";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Réglette à visuels (Type Vivarmor)";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_1";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_2";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_4";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_5";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_13/08/2014_Franck Delisle+Jérémy Allain_6";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Franck Delisle_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Oui"
"Arcouest_14/06/2014_Franck Delisle_2";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;;;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_1";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;"Praire";"Oui";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_2";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_3";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Jean-Pierre Guillosson_4";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Commerce";;;"Praire";"Oui";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Olivier Massard_1";;"Non";;"Praire";"espèce sans maille";45;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_14/06/2014_Olivier Massard_2";;"Non";;"Praire";"espèce sans maille";55;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;"Praire";"Oui";;;"Réponse correcte";;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Arcouest_14/06/2014_Olivier Massard_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Olivier Massard_4";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Olivier Massard_5";;"Non renseigné";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Artisanal";;;;"Ne sait pas";;;;;;;;"Oui";"Médias (journaux, radios, tv) | Internet / Applications mobiles";"Non renseigné"
"Arcouest_14/06/2014_Olivier Massard_6";;"Non";;"Praire";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_14/06/2014_Olivier Massard_7";;"Non";;"Coquille Saint-Jacques";"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_17/05/2015_Jérémy Allain_11";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_17/05/2015_Jérémy Allain_12";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_17/05/2015_Jérémy Allain_13";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_17/05/2015_Jérémy Allain_14";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_17/05/2015_Jérémy Allain_15";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_1";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_10";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Commerce";"Pied à coulisse FNPPSF";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_11";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_12";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_2";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_4";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_5";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_6";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_7";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_8";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_21/03/2015_JeanPierre Guillosson+StéphaniePlagaLemanski_9";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_1";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_10";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_11";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_12";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_13";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_14";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Artisanal";"Artisanal";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_15";;"Non renseigné";;;"espèce sans maille";;;"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_2";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_3";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_4";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_5";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_6";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_7";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
"Arcouest_28/09/2015_JeanPierre Guillosson_8";;"Non renseigné";;;"espèce sans maille";;;;;;;;;;;;;;;;"Non renseigné";"";"Non renseigné"
