"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"Port Lazo/Bilfot_08/09/2014_Olivier Massard_4";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Reglette LIFE";;"Praire";"Oui";;;"Réponse correcte";;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Port Lazo/Bilfot_08/09/2014_Olivier Massard_5";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Réglette mixte (type Etel ou ile de Ré)";;;;;;;;;;;"Non renseigné";"";"Oui"
"Port Lazo/Bilfot_08/09/2014_Olivier Massard_6";;"Non";;"Moules";"espèce sans maille";40;"Réponse correcte";"Oui";"Campagne de sensibilisation";"Reglette LIFE";;;"Ne sait pas";;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Franck Delisle_1";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui";"Anatomique (phalange, largeur de paume, pouce…)";;;;;;;;;;;;"Oui";"Annuaire des marées";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Franck Delisle_2";;"Non";;"Praire";"espèce sans maille";45;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Oui";;;;;;;;"Oui";"Panneau d'information/affichage | Médias (journaux, radios, tv)";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Franck Delisle_3";;"Non";;"Praire";"espèce sans maille";43;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;;;;;;;;;"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Franck Delisle_4";;"Non";;"Praire";"espèce sans maille";43;"Réponse correcte";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Franck Delisle_5";;"Non";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Ne sait pas";;;;;;;;"Non renseigné";"";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Franck Delisle_6";;"Non";;"Moules";"espèce sans maille";30;"Réponse incorrecte ou NSP";"Non";"Aucun outil";;;;"Oui";;;;;;;;"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"Port Lazo/Bilfot_12/07/2014_Vincent Trémel_1";;"Oui";;;"espèce sans maille";;"Réponse incorrecte ou NSP";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Reglette LIFE";;;"Ne sait pas";;;;;;;;"Oui";"Campagne de sensibilisation";"Non renseigné"
