"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Heure Comptage";"Nb Total";"Nb Adultes";"Nb Enfants";"Nb Pecheurs Site";"Nb Pecheurs Arrivee";"Nb Pecheurs Départ";"Présence Zone Interdite";"Nb Pecheurs Zone Interdite";"Type Interdiction";"Autres usages";"Commentaires"
428973;"2019-08-03-GONB-FRE-172";428974;"Golfe Normand Breton";"GONB_08J";"Surville (La poudrière)";"16:40";140;;;120;20;;"Non";;;"";
428976;"2019-09-03-GONB-FRE-011";428977;"Golfe Normand Breton";"GONB_08J";"Surville (La poudrière)";"17:00";7;;;7;;;"Non";;;"";
428978;"2019-09-27-GONB-FRE-009";428979;"Golfe Normand Breton";"GONB_08J";"Surville (La poudrière)";"13:00";9;;;;;;"Non renseigné";;;"";
428980;"2019-02-21-ECOT-FRE-013";428981;"Est Cotentin";"ECOT_03";"De la pointe de la Loge - la plage du Vicq";"15:30";12;;;12;;;"Non";;;"";
428982;"2019-10-29-GONB-FRE-013";428983;"Golfe Normand Breton";"GONB_09B";"Barneville";"13:40";40;;;;;2;"Non renseigné";;;"";
428984;"2019-09-30-GONB-FRE-015";428985;"Golfe Normand Breton";"GONB_09B";"Barneville";"15:36";55;;;51;4;;"Non";;;"";
428986;"2019-09-01-GONB-FRE-004";428987;"Golfe Normand Breton";"GONB_09B";"Barneville";"15:40";119;;;119;;;"Non";;;"";
428990;"2019-08-05-GONB-FRE-022";428991;"Golfe Normand Breton";"GONB_08E";"Pirou-Plage";"17:15";103;;;;;;"Oui";3;"Autre type";"";
428995;"2019-10-29-GONB-FRE-014";428996;"Golfe Normand Breton";"GONB_08I";"Bretteville-sur-Ay / Glatigny";"15:00";27;;;27;;;"Non";;;"";
428997;"2019-11-10-GONB-FRE-001";428998;"Golfe Normand Breton";"GONB_09B";"Barneville";"14:30";32;;;32;;;"Non renseigné";;;"";
428999;"2019-05-21-GONB-FRE-006";429000;"Golfe Normand Breton";"GONB_09A";"Portbail";"16:15";4;;;4;;;"Non";;;"";
429001;"2019-11-11-GONB-FRE-001";429002;"Golfe Normand Breton";"GONB_08K";"Denneville";"16:16";10;;;10;;;"Non renseigné";;;"";
429003;"2019-07-19-GONB-FRE-004";429004;"Golfe Normand Breton";"GONB_09A";"Portbail";"14:30";12;;;12;;;"Non renseigné";;;"";
429005;"2019-08-18-GONB-FRE-002";429006;"Golfe Normand Breton";"GONB_09B";"Barneville";"13:00";18;;;;3;;"Non renseigné";;;"";
429007;"2019-10-14-GONB-FRE-002";429008;"Golfe Normand Breton";"GONB_08E";"Pirou-Plage";"14:40";15;;;15;;;"Non renseigné";;;"";
