"ID Fiche Terrain";"Libellé Sortie";"ID Fiche Fréquentation";"Libellé Territoire";"Code Site";"Libellé Site";"Code Sous Site";"Libellé Sous Site";"Heure Comptage";"Type Activite";"Nb Total";"Nb Adultes";"Nb Enfants";"Autres usages";"Commentaires"
403667;"2018-08-17-GONB-FRE-045";403670;"Golfe Normand Breton";"GONB_12B";"Grêve des Marais - Grêve de Morlet";"GONB_Ra23";"Grève de Morlet";"09:30";"total de pêcheurs à pied de loisir";0;;;"Autres pêches de loisir";"3 pêcheurs appâts (vers marins)"
403672;"2019-08-02-EGMP-FRE-003";403679;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_241-242-243-244-245";"Fier d'Ars Nord";"EGMP_244";"Chenal du Riveau";"12:30";"total de pêcheurs à pied de loisir";12;;;"";
403672;"2019-08-02-EGMP-FRE-003";403689;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_241-242-243-244-245";"Fier d'Ars Nord";"EGMP_242";"RNN Lilleau des Niges - Gros Sable";"12:10";"total de pêcheurs à pied de loisir";52;;;"";
403672;"2019-08-02-EGMP-FRE-003";403690;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_241-242-243-244-245";"Fier d'Ars Nord";"EGMP_241";"Chenal des villages";"12:00";"total de pêcheurs à pied de loisir";38;;;"";
403672;"2019-08-02-EGMP-FRE-003";403691;"Estuaire de la Gironde et Mer des Pertuis";"EGMP_241-242-243-244-245";"Fier d'Ars Nord";"EGMP_243";"La Patache";"12:15";"total de pêcheurs à pied de loisir";55;;;"";
403682;"2018-08-17-GONB-FRE-050";403683;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra31";"La Ville Ger";"09:45";"total de pêcheurs à pied de loisir";1;1;0;"Pêche à pied professionnelle";"pêcheur loisir avec râteau + 9 pro (sur palourdes)"
403682;"2018-08-17-GONB-FRE-050";403684;"Golfe Normand Breton";"GONB_12C";"Plaine de la Ville Ger et Bas Champs";"GONB_Ra27";"Port Saint-Jean";"09:45";"total de pêcheurs à pied de loisir";0;;;"";
403717;"2018-08-27-GONB-FRE-016";403718;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra13";"Le Valion";"18:00";"total de pêcheurs à pied de loisir";0;;;"";
403717;"2018-08-27-GONB-FRE-016";403719;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra18";"Pointe du Puits";"17:55";"total de pêcheurs à pied de loisir";0;;;"";
403717;"2018-08-27-GONB-FRE-016";403720;"Golfe Normand Breton";"GONB_12A";"Bras de Châteauneuf";"GONB_Ra12";"Val ès Bouillis";"18:00";"total de pêcheurs à pied de loisir";0;;;"Autres pêches de loisir";"1 pêcheur appâts (vers marins)"
