"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"2018-05-16-GONB-SEN-001";"2018-05-16_GONB_08C_356326";"15:00";60;60;1;"Oui";;;
"2018-05-16-GONB-SEN-003";"2018-05-16_GONB_08C_356337";;10;;1;"Non";;;;"Palourdes croisées";;12;;"Mesurée";;12.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-004";"2018-05-16_GONB_08C_356344";;45;75;1;"Non";;;;"Praire";;1;;"Mesurée";;0.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-004";"2018-05-16_GONB_08C_356344";;45;75;1;"Non";;;;"Palourdes croisées";;17;;"Mesurée";;17.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-004";"2018-05-16_GONB_08C_356344";;45;75;1;"Non";;;;"Coque commune";;1;;"Mesurée";;1.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-005";"2018-05-16_GONB_08C_356352";;45;75;1;"Non";;;;"Palourdes croisées";;15;;"Mesurée";;15.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-005";"2018-05-16_GONB_08C_356352";;45;75;1;"Non";;;;"Huître creuse";;1;;"Mesurée";;0.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-006";"2018-05-16_GONB_08C_356359";;60;;1;"Non";;;;"Palourdes croisées";;40;;"Mesurée";;40.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-007";"2018-05-16_GONB_08C_356365";;60;120;1;"Non";;;;"Spisule, Mactre solide";;20;;"Mesurée";;10.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-007";"2018-05-16_GONB_08C_356365";;60;120;1;"Non";;;;"Palourdes croisées";;30;;"Mesurée";;18.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-007";"2018-05-16_GONB_08C_356365";;60;120;1;"Non";;;;"Praire";;1;;"Mesurée";;0.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-008";"2018-05-16_GONB_08C_356373";;60;120;1;"Non";;;;"Palourdes croisées";;15;;"Mesurée";;15.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-009";"2018-05-16_GONB_08C_356379";;60;60;1;"Non";;;;"Palourdes croisées";;60;;"Estimée";;60.0;;"Estimée";100.0
"2018-05-16-GONB-SEN-010";"2018-05-16_GONB_08C_356385";;120;180;1;"Non";;;;"Palourdes croisées";;25;;"Mesurée";;25.0;;"Mesurée";100.0
"2018-05-16-GONB-SEN-011";"2018-05-16_GONB_08C_356391";;75;;1;"Non";;;;"Palourdes croisées";;18;;"Mesurée";;18.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-001";"2018-05-17_GONB_06D_356397";;15;75;1;"Non";;;;"Palourdes croisées";;2;;"Mesurée";;2.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-003";"2018-05-17_GONB_06D_356403";;15;75;1;"Oui";;;
"2018-05-17-GONB-SEN-004";"2018-05-17_GONB_06D_356408";;30;120;1;"Non";;;;"Palourdes croisées";;4;;"Mesurée";;3.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-004";"2018-05-17_GONB_06D_356408";;30;120;1;"Non";;;;"Spisule, Mactre solide";;1;;"Non renseignée";;1.0;;"Mesurée";
"2018-05-17-GONB-SEN-005";"2018-05-17_GONB_06D_356419";;30;90;1;"Non";;;;"Palourdes croisées";;5;;"Mesurée";;5.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-005";"2018-05-17_GONB_06D_356419";;30;90;1;"Non";;;;"Spisule, Mactre solide";;1;;"Mesurée";;1.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-006";"2018-05-17_GONB_06D_356426";;60;120;2;"Non";;;;"Palourdes croisées";;10;;"Mesurée";;10.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-006";"2018-05-17_GONB_06D_356426";;60;120;2;"Non";;;;"Palourde bleue";;2;;"Mesurée";;1.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-007";"2018-05-17_GONB_06D_356434";;30;140;1;"Non";;;;"Palourdes croisées";;13;;"Mesurée";;13.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-008";"2018-05-17_GONB_06D_356442";;30;;1;"Non";;;;"Palourdes croisées";;100;;"Estimée";;100.0;;"Estimée";100.0
"2018-05-17-GONB-SEN-009";"2018-05-17_GONB_06D_356448";;45;90;;"Non";;;;"Palourdes croisées";;50;;"Estimée";;50.0;;"Estimée";100.0
"2018-05-17-GONB-SEN-010";"2018-05-17_GONB_06D_356454";;45;75;1;"Non";;;;"Palourdes croisées";;2;;"Mesurée";;2.0;;"Mesurée";100.0
"2018-05-17-GONB-SEN-011";"2018-05-17_GONB_06D_356460";;60;75;1;"Non";;;;"Palourdes croisées";;20;;"Mesurée";;20.0;;"Mesurée";100.0
"2018-06-13-GONB-SEN-001";"2018-06-13_GONB_08A_356466";;0;60;1;"Oui";;;
"2018-06-13-GONB-SEN-003";"2018-06-13_GONB_08A_356471";;30;;1;"Non";;;;"Coques";;3;;"Mesurée";;3.0;;"Mesurée";
"2018-06-13-GONB-SEN-003";"2018-06-13_GONB_08A_356471";;30;;1;"Non";;;;"Palourdes croisées";;30;;"Mesurée";;30.0;;"Mesurée";100.0
"2018-06-13-GONB-SEN-004";"2018-06-13_GONB_08A_356478";;;;;"Non";;;;"Palourdes croisées";;;;"Non renseignée";;;;"Non renseignée";
"2018-06-13-GONB-SEN-005";"2018-06-13_GONB_08A_356484";;45;90;1;"Non";;;;"Palourdes croisées";;7;;"Mesurée";;7.0;;"Mesurée";100.0
"2018-06-13-GONB-SEN-005";"2018-06-13_GONB_08A_356484";;45;90;1;"Non";;;;"Coques";;15;;"Mesurée";;15.0;;"Mesurée";100.0
"2018-06-13-GONB-SEN-006";"2018-06-13_GONB_08A_356491";;90;120;1;"Non";;;;"Coques";;100;;"Estimée";;100.0;;"Mesurée";
"2018-06-13-GONB-SEN-006";"2018-06-13_GONB_08A_356491";;90;120;1;"Non";;;;"Palourdes croisées";;91;;"Mesurée";;91.0;;"Mesurée";100.0
"2018-06-13-GONB-SEN-007";"2018-06-13_GONB_08A_356498";;10;130;1;"Non";;;;"Palourdes croisées";;10;;"Mesurée";;10.0;;"Mesurée";100.0
"2018-06-13-GONB-SEN-007";"2018-06-13_GONB_08A_356498";;10;130;1;"Non";;;;"Coques";;3;;"Mesurée";;3.0;;"Mesurée";100.0
