"Libellé Sortie";"Code Enquète";"Milieu(x)";"Espéces";"Outils ou techniques";"Conformité outil(s)";"Estimation Reglement";"Connaissance Reglement";"Premiere Peche";"Annee Premiere Peche";"Peche Chaque Annee";"Frequence Declaree Peche";"Mois de peche";"Nb Peches Annuelles";"Péche du jour";"Frequence Indiquee";"Espéces prélevées";"Prélèvement annuel poids";"Prélèvement annuel nombre";"Choix des marées";"Coefficient Maree Mini";"Coefficient Maree NSP";"Autre Sites fréquentés";"Départements";"Nom sites";"Motivation(s)";"Autres types de peche"
"2018-05-24-BERR-SEN-001";"2018-05-24_BERR_01_356989";"";"";"Rateau (générique)";"";"Ne Sait Pas";"Non";"Non";"2008";"Oui";"";"Juin | Juil | Aou";"4";"Occasionnelle (>5%)";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Habitude/Tradition | Passer le temps, s'occuper";"Du  bord : Ligne"
"2018-05-24-BERR-SEN-003";"2018-05-24_BERR_01_356998";"";"";"Griffe (générique) | Au doigt";"";"Oui";"Non";"Non";"1958";"Oui";"";"Mai | Juin";"7";"Régulière (>25%)";"";"Moules | Crabes";"";"";"N'importe quel jour de la semaine";"";"";"Oui";"Vendée";"";"Passer le temps, s'occuper";"Aucune autre pêche"
"2018-05-24-BERR-SEN-004";"2018-05-24_BERR_01_357005";"";"";"Au doigt";"";"Oui";"Oui";"Oui";"";"";"";"";"";"Première fois";"";"Couteaux";"";"";"";"";"";"Non";"";"";"Qualité des produits | Passer le temps, s'occuper";"Du  bord : Ligne"
"2018-05-23-BERR-SEN-007";"2018-05-23_BERR_03_357012";"";"";"Au doigt";"";"";"";"Non";"2016";"Oui";"";"";"1";"Seule pratique";"";"Moules";"";"";"Lorsque la météo favorable";"";"";"Oui";"Bouches-du-Rhône";"Fos-sur-mer";"Gratuité des produits | Plaisir : aspect ludique";"Aucune autre pêche"
"2018-06-26-BERR-SEN-001";"2018-06-26_BERR_03_357028";"";"";"Au doigt";"";"Ne Sait Pas";"Non";"Non";"1998";"Oui";"";"Juin | Juil";"3";"Occasionnelle (>5%)";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Qualité des produits";"Du  bord : Ligne"
"2018-06-26-BERR-SEN-003";"2018-06-26_BERR_03_357041";"";"";"Au doigt";"";"Ne Sait Pas";"Non";"Oui";"";"Non";"";"";"";"Première fois";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Plaisir : aspect ludique | Passer le temps, s'occuper";"Du  bord : Ligne"
"2018-07-02-BERR-SEN-001";"2018-07-02_BERR_01_357076";"";"";"Tellinier à manche";"";"Oui";"Non";"Non";"2017";"Oui";"";"Juin | Juil";"2";"Rare (<5%)";"";"";"";"";"N'importe quel jour de la semaine | Lorsque la météo favorable";"";"";"Oui";"";"";"Plaisir : aspect ludique";"Aucune autre pêche"
"2018-07-02-BERR-SEN-003";"2018-07-02_BERR_02_357091";"";"";"Au doigt";"";"Oui";"Oui";"Non";"2017";"Oui";"";"Juin | Juil";"2";"Rare (<5%)";"";"";"";"";"Lorsque la météo favorable";"";"";"Non";"";"";"Paysage et bon air";"Du  bord : Ligne"
"2018-06-29-GONB-SEN-001";"2018-06-29_GONB_01A_357103";"Sables vaseux";"Bivalves fouisseurs";"";"";"";"";"";"";"Non Renseigné";"";"";"";"";"";"";"";"";"";"";"Ne Sait pas";"";"";"";"";""
"2018-05-14-EGMP-SEN-001";"2018-05-14_EGMP_148_357135";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357141";"";"Couteaux";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357147";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357153";"";"Palourdes | Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357159";"";"Palourdes | Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357165";"";"Coques";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"2018-05-14-EGMP-SEN-013";"2018-05-14_EGMP_148_357171";"";"Coques | Crabe vert d'Europe, crabe enragé | Diverses espèces découverte";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
