"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Ile aux Oiseaux_13/09/2014_DM_33";;;45;75;1;"Non";;;;"Palourdes";1500.0;;;;;;;;
"Ile aux Oiseaux_13/09/2014_DM_34";;;60;60;1;"Non";;;;"Huître creuse";7.5;;;;;;;;
"Ile aux Oiseaux_18/08/2016_BB_38";;;60;90;2;"Non";;;;"Palourdes";;;2.0;;;;;;
"Ile aux Oiseaux_18/08/2016_BB_39";;;60;60;3;"Non";;;;"Moules";;;1.0;;;;;;
"Ile aux Oiseaux_18/08/2016_BB_39";;;60;60;3;"Non";;;;"Huître creuse";;30;;;;;;;
"Ile aux Oiseaux_18/08/2016_BB_40";;;30;60;1;"Non";;;;"Palourdes";;;1.0;;;;;;
"Ile aux Oiseaux_19/08/2015_DM_Rec19";;;20;20;3;"Oui";;;
"Ile aux Oiseaux_19/08/2015_PB_Rec17";;;60;150;1;"Non";;;;"Palourdes";;60;;;;;;;
"Ile aux Oiseaux_19/08/2015_PB_Rec18";;;75;75;2;"Non";;;;"Palourdes";4900.0;;;;;;;;
"Ile aux Oiseaux_20/06/2015_DM_39";;;45;105;2;"Non";;;;"Bigorneaux";;5;;;;;;;
"Ile aux Oiseaux_20/06/2015_DM_39";;;45;105;2;"Non";;;;"Huître creuse";;7;;;;;;;
"Ile aux Oiseaux_20/06/2015_DM_39";;;45;105;2;"Non";;;;"Palourdes";;50;;;;;;;
"Ile aux Oiseaux_20/06/2015_DM_40";;;60;90;1;"Non";;;;"Palourdes";2250.0;;;;;;;;
"Ile aux Oiseaux_20/06/2015_DM_41";;;120;135;1;"Non";;;;"Couteaux";;25;;;;;;;
"Ile aux Oiseaux_20/07/2015_PB_42";;;30;90;1;"Non";;;;"Bigorneaux";200.0;80;;;;;;;
"Ile aux Oiseaux_20/07/2015_PB_43";;;;30;3;"Oui";;;
"Ile aux Oiseaux_20/07/2015_PB_44";;;5;25;4;"Non";;;;"Huître creuse";2.25;30;;;;;;;
"Ile aux Oiseaux_20/07/2015_PB_45";;;60;60;3;"Non";;;;"Crabe vert d'Europe, crabe enragé";;;;;;;;;
"Ile aux Oiseaux_20/07/2015_PB_45";;;60;60;3;"Non";;;;"Huître creuse";;;;;;;;;
"Ile aux Oiseaux_20/07/2015_PB_46";;;90;90;4;"Non";;;;"Palourdes";3000.0;;;;;;;;
"Ile aux Oiseaux_20/07/2015_PB_46";;;90;90;4;"Non";;;;"Coques";;;;;;;;;
"Ile aux Oiseaux_21/07/2016_BB_16";;;30;45;2;"Non";;;;"Crabe vert d'Europe, crabe enragé";;7;;;;;;;
"Ile aux Oiseaux_21/07/2016_BB_16";;;30;45;2;"Non";;;;"Bigorneaux";500.0;;;;;;;;
"Ile aux Oiseaux_21/07/2016_BB_17";;;90;90;4;"Non";;;;"Palourdes";10000.0;;;;;;;;
"Ile aux Oiseaux_21/07/2016_BB_18";;;30;30;2;"Non";;;;"Huître creuse";;60;;;;;;;
"Ile aux Oiseaux_21/07/2016_BB_19";;;90;90;2;"Non";;;;"Huître creuse";;40;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_20";;;60;120;;"Non";;;;"Bigorneaux";;20;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_20";;;60;120;;"Non";;;;"Coques";;10;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_20";;;60;120;;"Non";;;;"Crabe vert d'Europe, crabe enragé";;1;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_21";;;90;90;4;"Non";;;;"Palourdes";3750.0;;3.75;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_22";;;90;90;3;"Non";;;;"Crabe vert d'Europe, crabe enragé";1500.0;;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_22";;;90;90;3;"Non";;;;"Palourdes";8250.0;;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_23";;;60;75;5;"Non";;;;"Coques";;12;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_23";;;60;75;5;"Non";;;;"Couteaux";;2;;;;;;;
"Ile aux Oiseaux_21/07/2016_DM_23";;;60;75;5;"Non";;;;"Palourdes";;2;;;;;;;
"Ile aux Oiseaux_24/09/2014_DM_35";;;60;120;1;"Non";;;;"Palourdes";;12;;;;;;;
"Ile aux Oiseaux_24/09/2014_DM_35";;;60;120;1;"Non";;;;"Coques";;24;;;;;;;
"Ile aux Oiseaux_24/09/2014_DM_35";;;60;120;1;"Non";;;;"Bigorneaux";;50;;;;;;;
"Ile aux Oiseaux_26/07/2014_CM_10";;;30;60;2;"Non";;;;"Palourdes";;200;4.0;;;;;;
"Ile aux Oiseaux_26/07/2014_CM_11";;;30;45;2;"Non";;;;"Palourdes";1000.0;50;1.0;;;;;;
"Ile aux Oiseaux_26/07/2014_CM_12";;;20;30;2;"Non";;;;"Palourdes";1000.0;75;;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_02";;;30;120;1;"Non";;;;"Palourdes";;29;;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_03";;;50;90;2;"Non";;;;"Palourdes";;;;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_03";;;50;90;2;"Non";;;;"Coques";;;;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_04";;;20;30;2;"Non";;;;"Palourdes";2000.0;;1.5;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_05";;;35;90;1;"Non";;;;"Palourdes";4500.0;;5.0;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_06";;;25;60;2;"Non";;;;"Palourdes";;50;;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_07";;;20;45;1;"Non";;;;"Palourdes";1500.0;;2.0;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_08";;;20;30;1;"Non";;;;"Palourdes";3750.0;;3.5;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_09";;;180;180;1;"Non";;;;"Palourdes";;;;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_09";;;180;180;1;"Non";;;;"Coques";;;;;;;;;
"Ile aux Oiseaux_26/07/2014_DM_09";;;180;180;1;"Non";;;;"Huître creuse";;3;;;;;;;
"Ile aux Oiseaux_30/08/2015_DM_Rec26";;;90;90;1;"Oui";;;
"Ile aux Oiseaux_30/08/2015_DM_Rec27";;;45;45;2;"Non";;;;"Palourdes";1250.0;60;;;;;;;
"Ile aux Oiseaux_30/08/2015_PB_Rec28";;;90;90;2;"Non";;;;"Palourdes";2100.0;;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_13";;;25;30;5;"Non";;;;"Crabe vert d'Europe, crabe enragé";;3;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_13";;;25;30;5;"Non";;;;"Coques";;15;;;17.91;;;;
"Ile aux Oiseaux_31/07/2014_DM_13";;;25;30;5;"Non";;;;"Palourdes";;11;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_14";;;5;55;1;"Non";;;;"Bigorneaux";;42;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_15";;;60;75;3;"Non";;;;"Bigorneaux";;100;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_16";;;55;75;2;"Non";;;;"Palourdes";4000.0;;4.0;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_17";;;45;90;2;"Non";;;;"Palourdes";2000.0;;2.0;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_18";;;55;180;1;"Non";;;;"Palourdes";1000.0;;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_19";;;60;180;1;"Non";;;;"Palourdes";1500.0;;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_19";;;60;180;1;"Non";;;;"Coques";;12;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_19";;;60;180;1;"Non";;;;"Huître creuse";;1;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_20";;;10;75;1;"Non";;;;"Palourdes";;12;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_21";;;20;60;1;"Non";;;;"Palourdes";;3;;;;;;;
"Ile aux Oiseaux_31/07/2014_DM_22";;;45;105;2;"Non";;;;"Palourdes";1750.0;;2.0;;;;;;
"La Hume_01/08/2016_BB_28";;;45;90;1;"Non";;;;"Palourdes";3500.0;;;;;;;;
"La Hume_01/08/2016_BB_29";;;75;105;1;"Non";;;;"Palourdes";;;;;;;;;
"La Hume_01/08/2016_BB_30";;;30;75;1;"Non";;;;"Palourdes";500.0;;;;;;;;
"La Hume_01/08/2016_BB_31";;;120;120;3;"Non";;;;"Palourdes";6000.0;;;;;;;;
"La Hume_01/08/2016_BB_32";;;20;60;1;"Non";;;;"Palourdes";;10;;;;;;;
"La Hume_01/08/2016_BB_33";;;45;135;1;"Non";;;;"Palourdes";2000.0;;;;;;;;
"La Hume_01/08/2016_BB_34";;;60;90;2;"Non";;;;"Palourdes";;30;;;;;;;
"La Hume_01/08/2016_BB_35";;;30;60;2;"Non";;;;"Palourdes";1500.0;;;;;;;;
"La Hume_01/08/2016_DM_23";;;60;60;1;"Non";;;;"Palourdes";1000.0;;;;;;;;
"La Hume_01/08/2016_DM_24";;;90;90;2;"Non";;;;"Palourdes";2500.0;;2.0;;;;;;
"La Hume_01/08/2016_DM_24";;;90;90;2;"Non";;;;"Crabe vert d'Europe, crabe enragé";;17;;;;;;;
"La Hume_01/08/2016_DM_25";;;60;60;4;"Non";;;;"Palourdes";4250.0;;;;;;;;
"La Hume_01/08/2016_DM_26";;;120;120;1;"Non";;;;"Palourdes";1500.0;;;;;;;;
"La Hume_01/08/2016_DM_27";;;30;45;3;"Non";;;;"Crabe vert d'Europe, crabe enragé";;2;;;;;;;
"La Hume_01/08/2016_DM_27";;;30;45;3;"Non";;;;"Palourdes";;11;;;;;;;
"La Hume_01/08/2016_DM_27";;;30;45;3;"Non";;;;"Coques";;50;;;;;;;
"La Hume_02/10/2016_BB_45";;;60;75;1;"Non";;;;"Palourdes";;20;;;;;;;
"La Hume_02/10/2016_BB_46";;;15;45;2;"Non";;;;"Palourdes";;50;;;;;;;
"La Hume_02/10/2016_BB_47";;;60;60;2;"Oui";;;
"La Hume_02/10/2016_BB_48";;;30;60;1;"Non";;;;"Palourdes";;30;;;;;;;
"La Hume_02/10/2016_BB_49";;;30;60;1;"Non";;;;"Arénicoles";;12;;;;;;;
"La Hume_06/06/2015_DM_44";;;45;105;1;"Non";;;;"Bigorneaux";;20;;;;;;;
"La Hume_06/06/2015_DM_44";;;45;105;1;"Non";;;;"Crabe vert d'Europe, crabe enragé";;6;;;;;;;
"La Hume_06/06/2015_DM_44";;;45;105;1;"Non";;;;"Coques";;11;;;;;;;
"La Hume_06/06/2015_DM_44";;;45;105;1;"Non";;;;"Palourdes";;6;;;;;;;
"La Hume_06/06/2015_DM_45";;;20;40;1;"Non";;;;"Palourdes";1500.0;;;;;;;;
"La Hume_06/06/2015_DM_46";;;15;30;2;"Non";;;;"Palourdes";1250.0;;;;;;;;
"La Hume_06/06/2015_DM_47";;;30;45;1;"Non";;;;"Arénicoles";;20;;;;;;;
"La Hume_06/06/2015_DM_48";;;30;30;1;"Non";;;;"Palourdes";3000.0;;;;;;;;
"La Hume_06/06/2015_DM_49";;;90;90;;"Non";;;;"Palourdes";;15;;;;;;;
"La Hume_06/06/2015_DM_49";;;90;90;;"Non";;;;"Arénicoles";;30;;;;;;;
"La Hume_06/06/2015_DM_49";;;90;90;;"Non";;;;"Crabe vert d'Europe, crabe enragé";;15;;;;;;;
"La Hume_06/06/2015_DM_49";;;90;90;;"Non";;;;"Bigorneaux";;100;;;;;;;
"La Hume_06/07/2015_DM_Rec01";;;30;30;1;"Oui";;;
"La Hume_06/07/2015_PB_50";;;120;120;2;"Non";;;;"Arénicoles";2000.0;50;;;;;;;
"La Hume_06/09/2014_DM_32";;;35;60;1;"Non";;;;"Arénicoles";;20;;;;;;;
"La Hume_06/09/2014_DM_33";;;30;60;2;"Non";;;;"Palourdes";;16;;;;;;;
"La Hume_06/09/2014_DM_33";;;30;60;2;"Non";;;;"Coques";;11;;;;;;;
"La Hume_06/09/2014_DM_34";;;30;90;1;"Non";;;;"Palourdes";;27;;;;;;;
"La Hume_06/09/2014_DM_34";;;30;90;1;"Non";;;;"Bigorneaux";;6;;;;;;;
"La Hume_07/07/2016_BB_6";;;60;60;1;"Non";;;;"Palourdes";;17;;;;;;;
"La Hume_07/07/2016_BB_7";;;60;120;3;"Non";;;;"Palourdes";2500.0;100;;;;;;;
"La Hume_07/07/2016_BB_7";;;60;120;3;"Non";;;;"Crabe vert d'Europe, crabe enragé";;10;;;;;;;
"La Hume_07/07/2016_BB_8";;;45;45;4;"Non";;;;"Crabe vert d'Europe, crabe enragé";;22;;;;;;;
"La Hume_07/07/2016_BB_9";;;60;150;6;"Non";;;;"Palourdes";1500.0;;;;;;;;
"La Hume_07/07/2016_DM_1";;;120;120;1;"Non";;;;"Arénicoles";;20;;;;;;;
"La Hume_07/07/2016_DM_2";;;20;35;2;"Non";;;;"Palourdes";500.0;;;;;;;;
"La Hume_07/07/2016_DM_3";;;20;35;1;"Non";;;;"Coques";;15;;;;;;;
"La Hume_07/07/2016_DM_3";;;20;35;1;"Non";;;;"Bigorneaux";;20;;;;;;;
"La Hume_07/07/2016_DM_3";;;20;35;1;"Non";;;;"Palourdes";;12;;;;;;;
"La Hume_07/07/2016_DM_4";;;60;90;2;"Non";;;;"Arénicoles";;100;;;;;;;
"La Hume_07/07/2016_DM_5";;;60;90;1;"Non";;;;"Arénicoles";;10;;;;;;;
"La Hume_09/05/2015_DM_40";;;60;60;1;"Non";;;;"Bigorneaux";3000.0;;;;;;;;
"La Hume_09/05/2015_DM_41";;;60;60;1;"Non";;;;"Arénicoles";;20;;;;;;;
"La Hume_09/05/2015_DM_42";;;30;90;1;"Non";;;;"Arénicoles";;6;;;;;;;
"La Hume_09/07/2014_DM_01";;;50;90;1;"Non";;;;"Palourdes";;;2.0;;;;;;
"La Hume_09/07/2014_DM_02";;;20;80;1;"Non";;;;"Palourdes";;;3.0;;;;;;
"La Hume_09/07/2014_DM_03";;;25;180;2;"Non";;;;"Bigorneaux";;90;;;;;;;
"La Hume_09/07/2014_DM_04";;;40;90;1;"Non";;;;"Arénicoles";;20;;;;;;;
"La Hume_09/07/2014_DM_04";;;40;90;1;"Non";;;;"Palourdes";;;0.8;;;;;;
"La Hume_09/07/2014_DM_05";;;5;75;2;"Oui";;;
"La Hume_10/05/2015_DM_43";;;45;45;4;"Non";;;;"Crabe vert d'Europe, crabe enragé";;2;;;;;;;
"La Hume_10/05/2015_DM_43";;;45;45;4;"Non";;;;"Bigorneaux";3250.0;;;;;;;;
"La Hume_10/08/2014_DM_25";;;45;105;1;"Non";;;;"Coques";;2;;;;;;;
"La Hume_10/08/2014_DM_25";;;45;105;1;"Non";;;;"Bigorneaux";;5;;;;;;;
"La Hume_10/08/2014_DM_25";;;45;105;1;"Non";;;;"Palourdes";;2;;;;;;;
"La Hume_10/08/2014_DM_25";;;45;105;1;"Non";;;;"Crabe vert d'Europe, crabe enragé";;4;;;;;;;
"La Hume_10/08/2014_DM_26";;;15;45;1;"Oui";;;
"La Hume_10/08/2014_DM_27";;;55;55;5;"Non";;;;"Palourdes";;10;;;;;;;
"La Hume_10/08/2014_DM_28";;;20;120;1;"Non";;;;"Palourdes";;4;;;;;;;
"La Hume_10/08/2014_DM_29";;;5;60;2;"Non";;;;"Palourdes";;26;;;;;;;
"La Hume_10/08/2014_DM_30";;;115;115;3;"Non";;;;"Palourdes";8725.0;;;;;;;;
"La Hume_10/08/2014_DM_31";;;40;60;4;"Non";;;;"Palourdes";1725.0;;;;;;;;
"La Hume_10/10/2014_DM_35";;;180;180;1;"Non";;;;"Palourdes";1250.0;;;;;;;;
"La Hume_10/10/2014_DM_35";;;180;180;1;"Non";;;;"Huître creuse";5.0;;;;;;;;
"La Hume_10/10/2014_DM_36";;;110;110;2;"Non";;;;"Crabe vert d'Europe, crabe enragé";;30;;;;;;;
"La Hume_10/10/2014_DM_37";;;50;50;1;"Non";;;;"Huître creuse";20.0;;;;;;;;
"La Hume_10/10/2014_DM_38";;;105;105;1;"Non";;;;"Poissons";9.0;;;;;;;;
"La Hume_15/07/2014_DM_06";;;90;90;2;"Non";;;;"Palourdes";;40;;;;;;;
"La Hume_15/07/2014_DM_07";;;55;180;1;"Non";;;;"Crabe vert d'Europe, crabe enragé";;4;;;;;;;
"La Hume_15/07/2014_DM_07";;;55;180;1;"Non";;;;"Palourdes";;50;;;;;;;
"La Hume_15/07/2014_DM_08";;;75;105;1;"Non";;;;"Coques";;2;;;;;;;
"La Hume_15/07/2014_DM_08";;;75;105;1;"Non";;;;"Palourdes";;11;;;;;;;
"La Hume_15/07/2014_DM_08";;;75;105;1;"Non";;;;"Crabe vert d'Europe, crabe enragé";;6;;;;;;;
"La Hume_15/07/2014_DM_08";;;75;105;1;"Non";;;;"Bigorneaux";;20;;;;;;;
"La Hume_15/07/2014_DM_09";;;85;150;1;"Non";;;;"Crabe vert d'Europe, crabe enragé";;30;;;;;;;
"La Hume_15/07/2014_DM_09";;;85;150;1;"Non";;;;"Bigorneaux";;30;;;;;;;
"La Hume_15/07/2014_DM_10";;;15;90;1;"Non";;;;"Coques";;2;;;;;;;
"La Hume_15/07/2014_DM_10";;;15;90;1;"Non";;;;"Bigorneaux";;50;;;;;;;
"La Hume_15/07/2014_DM_10";;;15;90;1;"Non";;;;"Palourdes";;6;;;;;;;
"La Hume_15/07/2014_DM_11";;;30;60;1;"Non";;;;"Palourdes";;;1.0;;;;;;
"La Hume_15/07/2014_DM_12";;;25;90;1;"Non";;;;"Palourdes";;30;;;;;;;
"La Hume_15/07/2014_DM_12";;;25;90;1;"Non";;;;"Coques";;2;;;;;;;
"La Hume_15/07/2014_DM_13";;;115;135;1;"Non";;;;"Palourdes";;;4.0;;;;;;
"La Hume_16/08/2016_BB_36";;;90;90;2;"Non";;;;"Palourdes";;;6.0;;;;;;
"La Hume_16/08/2016_BB_37";;;10;70;1;"Non";;;;"Palourdes";;15;;;;;;;
"La Hume_16/08/2016_BB_38";;;20;40;5;"Non";;;;"Palourdes";1500.0;;;;;;;;
"La Hume_16/08/2016_BB_39";;;10;30;2;"Non";;;;"Palourdes";;15;;;;;;;
"La Hume_16/08/2016_BB_39";;;10;30;2;"Non";;;;"Coques";;10;;;;;;;
"La Hume_16/08/2016_BB_40";;;15;30;1;"Non";;;;"Palourdes";;15;;;;;;;
"La Hume_16/08/2016_DM_41";;;10;70;3;"Non";;;;"Palourdes";;8;;;;;;;
"La Hume_16/08/2016_DM_42";;;30;60;1;"Non";;;;"Palourdes";200.0;;;;;;;;
"La Hume_16/08/2016_DM_43";;;45;75;1;"Non";;;;"Palourdes";750.0;;;;;;;;
"La Hume_16/08/2016_DM_44";;;15;15;1;"Non";;;;"Palourdes";;2;;;;;;;
"La Hume_17/07/2014_DM_14";;;50;180;2;"Non";;;;"Palourdes";;;7.0;;;;;;
"La Hume_17/07/2014_DM_15";;;45;120;1;"Non";;;;"Palourdes";;;2.0;;;;;;
"La Hume_17/07/2014_DM_16";;;45;105;1;"Non";;;;"Palourdes";;26;;;;;;;
"La Hume_17/07/2014_DM_17";;;65;105;1;"Non";;;;"Palourdes";;;1.0;;;;;;
"La Hume_17/07/2014_DM_18";;;50;75;1;"Non";;;;"Palourdes";;;2.0;;;;;;
"La Hume_17/07/2014_DM_19";;;45;90;5;"Non";;;;"Palourdes";;;2.5;;;;;;
"La Hume_17/08/2015_DM_Rec12";;;60;90;2;"Non";;;;"Palourdes";6000.0;;;;;;;;
"La Hume_17/08/2015_DM_Rec13";;;60;75;2;"Non";;;;"Palourdes";2250.0;;;;;;;;
"La Hume_17/08/2015_DM_Rec14";;;75;75;2;"Non";;;;"Palourdes";1500.0;;;;;;;;
"La Hume_17/08/2015_DM_Rec15";;;60;60;1;"Non";;;;"Palourdes";3000.0;;;;;;;;
"La Hume_17/08/2015_DM_Rec16";;;60;60;1;"Non";;;;"Palourdes";3750.0;;;;;;;;
"La Hume_17/08/2015_PB_Rec08";;;90;90;2;"Non";;;;"Palourdes";7400.0;;;;;;;;
"La Hume_17/08/2015_PB_Rec09";;;30;60;1;"Non";;;;"Palourdes";2900.0;150;;;;;;;
"La Hume_17/08/2015_PB_Rec10";;;150;150;5;"Non";;;;"Coques";50.0;;;;;;;;
"La Hume_17/08/2015_PB_Rec10";;;150;150;5;"Non";;;;"Palourdes";1200.0;;;;;;;;
"La Hume_17/08/2015_PB_Rec11";;;75;75;8;"Non";;;;"Palourdes";;;;;;;;;
"La Hume_17/08/2015_PB_Rec11";;;75;75;8;"Non";;;;"Coques";;;;;;;;;
"La Hume_18/07/2016_BB_10";;;90;90;2;"Non";;;;"Arénicoles";;100;;;;;;;
"La Hume_18/07/2016_BB_12";;;60;90;1;"Non";;;;"Palourdes";3000.0;;;;;;;;
"La Hume_18/07/2016_BB_14";;;90;90;1;"Non";;;;"Palourdes";3000.0;;;;;;;;
"La Hume_18/07/2016_BB_16";;;20;110;1;"Non";;;;"Palourdes";;30;;;;;;;
"La Hume_18/07/2016_BB_18";;;30;90;1;"Non";;;;"Palourdes";1500.0;;;;;;;;
"La Hume_18/07/2016_BB_20";;;45;105;1;"Non";;;;"Palourdes";2000.0;;;;;;;;
"La Hume_18/07/2016_BB_21";;;60;120;1;"Non";;;;"Palourdes";2000.0;;;;;;;;
"La Hume_18/07/2016_BB_22";;;60;120;2;"Non";;;;"Palourdes";;15;;;;;;;
"La Hume_18/07/2016_DM_11";;;20;65;1;"Non";;;;"Palourdes";;9;;;;;;;
"La Hume_18/07/2016_DM_13";;;20;50;1;"Non";;;;"Palourdes";;30;;;;;;;
"La Hume_18/07/2016_DM_15";;;15;45;2;"Non";;;;"Palourdes";1000.0;85;1.0;;;;;;
"La Hume_18/07/2016_DM_17";;;15;75;2;"Non";;;;"Coques";;3;;;;;;;
"La Hume_18/07/2016_DM_17";;;15;75;2;"Non";;;;"Palourdes";;8;;;;;;;
"La Hume_18/07/2016_DM_19";;;30;75;2;"Non";;;;"Palourdes";750.0;;0.75;;;;;;
"La Hume_19/07/2015_DM_Rec02";;;90;90;1;"Non";;;;"Palourdes";1750.0;;;;;;;;
"La Hume_20/03/2015_DM_39";;;60;60;1;"Non";;;;"Bigorneaux";2250.0;;;;;;;;
"La Hume_20/10/2016_BB_50";;;20;50;1;"Non";;;;"Palourdes";;20;;;;;;;
"La Hume_20/10/2016_BB_51";;;60;90;1;"Non";;;;"Palourdes";;;1.0;;;;;;
"La Hume_27/08/2015_PB_Rec22";;;90;90;6;"Non";;;;"Palourdes";;;;;;;;;
"La Hume_27/08/2015_PB_Rec22";;;90;90;6;"Non";;;;"Coques";;;;;;;;;
"La Hume_27/08/2015_PB_Rec23";;;120;120;2;"Non";;;;"Palourdes";4500.0;;;;;;;;
"La Hume_27/08/2015_PB_Rec24";;;90;90;2;"Oui";;;
"La Hume_27/08/2015_PB_Rec25";;;90;90;2;"Oui";;;
"La Hume_27/08/2015_PB_Rec26";;;120;120;2;"Non";;;;"Palourdes";3800.0;;;;;;;;
"La Hume_29/07/2014_DM_20";;;50;50;1;"Non";;;;"Arénicoles";;10;;;;;;;
"La Hume_29/07/2014_DM_20";;;50;50;1;"Non";;;;"Palourdes";;40;;;;;;;
"La Hume_29/07/2014_DM_21";;;60;90;1;"Non";;;;"Palourdes";4000.0;;3.2;;;;;;
"La Hume_29/07/2014_DM_22";;;75;150;2;"Non";;;;"Vers tubes";;50;;;;;;;
"La Hume_29/07/2014_DM_23";;;120;150;3;"Non";;;;"Palourdes";1500.0;;1.0;;;;;;
"La Hume_29/07/2014_DM_24";;;80;120;1;"Non";;;;"Palourdes";1500.0;;1.1;;;;;;
"Pereire_02/04/2015_DM_18";;;30;30;1;"Non";;;;"Moules";;12;;;100.56000000000002;;;;
"Pereire_02/04/2015_DM_18";;;30;30;1;"Non";;;;"Coques";750.0;46;;;;;;;
"Pereire_02/04/2015_DM_18";;;30;30;1;"Non";;;;"Palourdes";;2;;;;;;;
"Pereire_03/07/2016_BB_10";;;30;45;2;"Non";;;;"Moules";8500.0;;;;8500.0;;;;
"Pereire_03/07/2016_BB_9";;;90;90;1;"Non";;;;"Araignée de mer";;1;;;;;;;
"Pereire_03/07/2016_BB_9";;;90;90;1;"Non";;;;"Moules";5750.0;;;;5750.0;;;;
"Pereire_03/07/2016_DM_6";;;45;105;1;"Non";;;;"Moules";1250.0;;;;1250.0;;;;
"Pereire_03/07/2016_DM_7";;;45;60;5;"Non";;;;"Moules";15500.0;;;;15500.0;;;;
"Pereire_03/07/2016_DM_7";;;45;60;5;"Non";;;;"Coques";12750.0;;;;12750.0;;;;
"Pereire_03/07/2016_DM_8";;;25;35;2;"Non";;;;"Coques";4500.0;;6.0;;900.0;;;;
"Pereire_05/08/2016_BB_25";;;30;30;1;"Non";;;;"Coques";3000.0;;;;2790.0;;;;
"Pereire_05/08/2016_BB_26";;;15;45;2;"Non";;;;"Coques";750.0;;;;375.0;;;;
"Pereire_05/08/2016_BB_27";;;15;30;3;"Non";;;;"Coques";4000.0;;;;2000.0;;;;
"Pereire_05/08/2016_DM_28";;;15;25;2;"Non";;;;"Coques";1000.0;;;;550.0;;;;
"Pereire_05/08/2016_DM_29";;;45;60;3;"Non";;;;"Coques";2750.0;;;;1375.0;;;;
"Pereire_05/08/2016_DM_30";;;30;60;1;"Non";;;;"Coques";2000.0;;;;300.0;;;;
"Pereire_06/10/2016_BB_38";;;30;60;1;"Non";;;;"Coques";;;2.0;;;;;;
"Pereire_06/10/2016_BB_39";;;60;90;1;"Oui";;;
"Pereire_06/10/2016_BB_40";;;90;90;1;"Non";;;;"Coques";;50;;;230.7;;;;
"Pereire_06/10/2016_BB_41";;;;;3;"Non";;;;"Coques";5000.0;;;;4000.0;;;;
"Pereire_07/07/2015_PB_19";;;75;105;1;"Non";;;;"Vers tubes";;5;;;;;;;
"Pereire_07/07/2015_PB_19";;;75;105;1;"Non";;;;"Coques";;3;;;;;;;
"Pereire_07/09/2014_DM_07";;;50;160;3;"Non";;;;"Coques";1000.0;;;;;;;;
"Pereire_07/09/2014_DM_07";;;50;160;3;"Non";;;;"Palourdes";;3;;;;;;;
"Pereire_07/09/2014_DM_08";;;75;90;1;"Non";;;;"Couteaux";1250.0;;;;625.0;;;;
"Pereire_09/06/2016_DM_5";;;15;75;1;"Non";;;;"Crabe vert d'Europe, crabe enragé";;5;;;;;;;
"Pereire_09/06/2016_DM_5";;;15;75;1;"Non";;;;"Seiche, Sépiole";;;;;;;;;
"Pereire_09/06/2016_DM_5";;;15;75;1;"Non";;;;"Coques";;15;;;28.8;;;;
"Pereire_09/08/2014_DM_06";;;25;35;1;"Non";;;;"Vers tubes";;17;;;;;;;
"Pereire_14/10/2016_BB_42";;;30;120;1;"Non";;;;"Moules";;;1.0;;;;;;
"Pereire_16/06/2014_CML_01";;;60;90;1;"Non";;;;"Arénicoles";;20;;;;;;;
"Pereire_16/06/2014_DM_02";;;5;20;1;"Oui";;;
"Pereire_16/08/2015_DM_Rec05";;;20;30;1;"Oui";;;
"Pereire_16/08/2015_DM_Rec06";;;45;45;1;"Oui";;;
"Pereire_16/08/2015_DM_Rec07";;;45;65;3;"Non";;;;"Coques";;20;;;;;;;
"Pereire_16/08/2015_PB_Rec04";;;90;90;2;"Oui";;;
"Pereire_17/07/2015_DM_20";;;60;60;1;"Non";;;;"Moules";;;;;;;;;
