"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"Arcouest_03/08/2015_Jéremy Alain&Amandine Galli_4";;;60;90;2;"Non";;;;"Palourdes";68.77;4;;;58.17;;;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_1";;;50;95;1;"Oui";;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;;75;150;2;"Non";;;;"Palourdes";193.9;10;;;193.9;;;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;;75;150;2;"Non";;;;"Etrille";0.68364;6;;;683.64;;;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_2";;;75;150;2;"Non";;;;"Praire";418.2;15;;;418.2;;;;
"Arcouest_04/06/2016_Franck Delisle&Denise Garin_3";;;;;1;"Non";;;;"Huître creuse";;;;;;;;;
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_1";;;40;63;2;"Non";;;;"Praire";81.72;6;;;;;;;
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_1";;;40;63;2;"Non";;;;"Palourdes";21.2;2;;;;;;;
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_2";;;;;;"Oui";;;
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_3";;;60;60;1;"Oui";;;
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_4";;;60;90;2;"Non";;;;"Palourdes";127.19999999999997;12;;;;;;;
"Arcouest_04/06/2016_Jean-Pierre Guillosson&Morgane Declerck_4";;;60;90;2;"Non";;;;"Praire";164.72;10;;;55.76;;;;
