"Libellé Sortie";"Code Enquète";"Heure début récolte";"Temps passé récolte";"Temps total Peche";"Nb pêcheurs récolte";"Panier vide";"Conformité maille";" Conformité quantité";"Tri du panier";"Espece";"Poids récolte";"Nb individus";"Volume récolté";"Type évaluation";"Poids maille";"Nb maille";"Volume maille";"Type évaluation maille";"Taille échantillon"
"2018-07-16-LEGD-SEN-028";"2018-07-16_LEGD_00_360455";"16:55";15;60;6;"Non";;;;"Coques";1480.0;160;;"Mesurée";1240.0;110.0;;"Mesurée";100.0
"2018-04-19-GUER-SEN-004";"2018-04-19_GUER_3B_360464";;30;30;1;"Non";;;;"Palourdes";;40;;"Mesurée";;39.0;;"Mesurée";
"2018-04-19-GUER-SEN-004";"2018-04-19_GUER_3B_360464";;30;30;1;"Non";;;;"Coques";;50;;"Mesurée";;48.0;;"Mesurée";
"2018-04-19-GUER-SEN-006";"2018-04-19_GUER_3B_360477";;30;30;2;"Non";;;;"Palourdes";;21;;"Mesurée";;20.0;;"Mesurée";
"2018-04-19-GUER-SEN-006";"2018-04-19_GUER_3B_360491";;120;120;4;"Non";;;;"Coques";1500.0;;;"Estimée";1425.0;;;"Estimée";
"2018-04-19-GUER-SEN-006";"2018-04-19_GUER_3B_360491";;120;120;4;"Non";;;;"Palourdes";1000.0;;;"Estimée";600.0;;;"Mesurée";
"2018-04-19-GUER-SEN-010";"2018-04-19_GUER_3B_360563";"12:30";150;150;1;"Non";;;;"Coques";;30;;"Estimée";;25.0;;"Estimée";10.0
"2018-06-06-GUER-SEN-002";"2018-06-06_GUER_3B_360583";;40;40;3;"Non";;;;"Coques";;;;"Non renseignée";;;;"Non renseignée";
"2018-07-16-GONB-SEN-044";"2018-07-16_GONB_01A_361325";"15:30";60;60;2;"Non";;;;"Coque commune";4200.0;;;"Estimée";1200.0;;;"Estimée";1200.0
"2018-07-16-GONB-SEN-045";"2018-07-16_GONB_01A_361333";"15:30";90;90;4;"Non";;;;"Coque commune";3000.0;;;"Estimée";900.0;;;"Mesurée";1000.0
"2018-06-13-GUER-SEN-044";"2018-06-13_GUER_3B_361406";;150;150;1;"Non";;;;"Coques";;;;"Non renseignée";;;;"Non renseignée";
"2018-06-13-GUER-SEN-044";"2018-06-13_GUER_3B_361406";;150;150;1;"Non";;;;"Palourdes";;;;"Non renseignée";;;;"Non renseignée";
"2018-06-13-GUER-SEN-045";"2018-06-13_GUER_3B_361397";;150;150;2;"Non";;;;"Palourdes";;;;"Non renseignée";;;;"Non renseignée";
"2018-06-13-GUER-SEN-045";"2018-06-13_GUER_3B_361397";;150;150;2;"Non";;;;"Coques";;;;"Non renseignée";;;;"Non renseignée";
"2018-06-13-GUER-SEN-045";"2018-06-13_GUER_3B_361420";;150;150;2;"Non";;;;"Coques";;;;"Non renseignée";;;;"Non renseignée";
"2018-06-13-GUER-SEN-046";"2018-06-13_GUER_3B_361428";;60;60;3;"Non";;;;"Coques";;;;"Non renseignée";;;;"Non renseignée";
"2018-07-13-GONB-SEN-029";"2018-07-13_GONB_01A_361991";"14:30";60;120;2;"Non";;;;"Palourdes";2700.0;;;"Mesurée";700.0;;;"Non renseignée";25.0
"2018-07-13-GONB-SEN-032";"2018-07-13_GONB_01A_362161";"14:30";60;90;2;"Non";;;;"Coques";1900.0;28;;"Estimée";;18.0;;"Mesurée";200.0
"2018-07-13-GONB-SEN-032";"2018-07-13_GONB_01A_362243";"14:50";60;70;4;"Non";;;;"Coques";3100.0;29;;"Estimée";;18.0;;"Mesurée";20.0
"2018-08-13-GONB-SEN-063";"2018-08-13_GONB_01B_362932";;1;150;2;"Non";;;;"Couteaux";;87;;"Mesurée";;80.0;;"Mesurée";
"2018-08-13-GONB-SEN-066";"2018-08-13_GONB_01B_362940";;0;120;1;"Non";;;;"Bouquet commun";;30;;"Non renseignée";;30.0;;"Non renseignée";
"2018-08-13-GONB-SEN-066";"2018-08-13_GONB_01B_362940";;0;120;1;"Non";;;;"Etrille";;3;;"Non renseignée";;3.0;;"Non renseignée";
"2018-08-13-GONB-SEN-066";"2018-08-13_GONB_01B_362949";;0;60;2;;;;;"Couteaux";;86;;"Non renseignée";;84.0;;"Non renseignée";
"2018-08-10-GONB-SEN-042";"2018-08-10_GONB_01B_362959";;90;150;1;;;;;"Coque commune";;106;;"Non renseignée";;106.0;;"Non renseignée";
"2018-08-10-GONB-SEN-042";"2018-08-10_GONB_01B_362959";;90;150;1;;;;;"Palourdes";;27;;"Non renseignée";;25.0;;"Non renseignée";
"2018-08-10-GONB-SEN-043";"2018-08-10_GONB_01B_362972";;15;15;1;"Non";;;;"Coques";;9;;"Non renseignée";;9.0;;"Non renseignée";
"2018-08-10-GONB-SEN-043";"2018-08-10_GONB_01B_362972";;15;15;1;"Non";;;;"Palourdes";;7;;"Non renseignée";;7.0;;"Non renseignée";
"2018-08-10-GONB-SEN-044";"2018-08-10_GONB_01B_362980";;135;135;2;;;;;"Coque commune";;51;;"Non renseignée";;51.0;;"Non renseignée";
"2018-08-10-GONB-SEN-044";"2018-08-10_GONB_01B_362980";;135;135;2;;;;;"Palourdes";;290;;"Non renseignée";;275.0;;"Non renseignée";
"2018-07-30-GONB-SEN-002";"2018-07-30_GONB_01B_362989";;120;120;3;;;;;"Coques";;8;;"Non renseignée";;8.0;;"Non renseignée";
"2018-07-30-GONB-SEN-002";"2018-07-30_GONB_01B_362989";;120;120;3;;;;;"Palourdes";;30;;"Non renseignée";;23.0;;"Non renseignée";
"2018-07-30-GONB-SEN-003";"2018-07-30_GONB_01B_362997";;120;120;1;;;;;"Couteaux";;40;;"Non renseignée";;40.0;;"Non renseignée";
"2018-07-24-GONB-SEN-002";"2018-07-24_GONB_01B_363004";;75;75;2;;;;;"Palourdes";;29;;"Non renseignée";;27.0;;"Non renseignée";
"2018-07-24-GONB-SEN-004";"2018-07-24_GONB_01B_363011";;90;90;2;"Non";;;;"Coques";;28;;"Non renseignée";;28.0;;"Non renseignée";
"2018-07-24-GONB-SEN-004";"2018-07-24_GONB_01B_363011";;90;90;2;"Non";;;;"Palourdes";;75;;"Non renseignée";;68.0;;"Non renseignée";
"2018-07-30-GONB-SEN-003";"2018-07-30_GONB_01A_363013";"15:00";90;120;7;"Non";;;;"Coques";5000.0;;;"Mesurée";5000.0;;;"Mesurée";100.0
"2018-07-30-GONB-SEN-004";"2018-07-30_GONB_01A_363028";"16:30";60;60;2;"Oui";;;
"2018-07-30-GONB-SEN-005";"2018-07-30_GONB_01A_363044";"14:00";160;160;2;"Non";;;;"Coques";;53;;"Mesurée";;50.0;;"Estimée";20.0
"2018-08-14-GONB-SEN-050";"2018-08-14_GONB_01B_363163";;1;150;2;;;;;"Couteaux";;87;;"Non renseignée";;63.0;;"Non renseignée";
"2018-08-14-GONB-SEN-051";"2018-08-14_GONB_01B_363191";;90;90;3;"Non";;;;"Couteaux";;125;;"Non renseignée";;111.0;;"Non renseignée";
"2018-07-13-GONB-SEN-033";"2018-07-13_GONB_01B_363200";;10;30;2;"Oui";;;
"2018-07-13-GONB-SEN-034";"2018-07-13_GONB_01B_363206";;60;90;2;"Non";;;;"Palourdes";;150;;"Non renseignée";;150.0;;"Non renseignée";
"2018-07-13-GONB-SEN-035";"2018-07-13_GONB_01B_363219";;60;60;2;"Non";;;;"Palourdes";;100;;"Non renseignée";;100.0;;"Non renseignée";
"2018-07-13-GONB-SEN-036";"2018-07-13_GONB_01B_363229";;45;45;1;;;;;"Palourdes";;40;;"Non renseignée";;;;"Non renseignée";
"2018-07-13-GONB-SEN-037";"2018-07-13_GONB_01B_363236";;60;60;1;"Non";;;;"Palourdes";;50;;"Non renseignée";;50.0;;"Non renseignée";
"2018-07-13-GONB-SEN-037";"2018-07-13_GONB_01B_363236";;60;60;1;"Non";;;;"Couteaux";;3;;"Non renseignée";;0.0;;"Non renseignée";
"2018-07-13-GONB-SEN-038";"2018-07-13_GONB_01B_363245";;30;30;1;;;;;"Coques";;1;;"Non renseignée";;1.0;;"Non renseignée";
"2018-07-13-GONB-SEN-039";"2018-07-13_GONB_01B_363252";;120;120;5;;;;;"Palourdes";;50;;"Estimée";;;;"Non renseignée";
"2018-07-13-GONB-SEN-040";"2018-07-13_GONB_01B_363259";;60;70;1;"Non";;;;"Palourdes";;120;;"Non renseignée";;120.0;;"Non renseignée";
"2018-07-13-GONB-SEN-041";"2018-07-13_GONB_01B_363266";;60;105;1;;;;;"Coques";;110;;"Non renseignée";;10.0;;"Non renseignée";
"2018-07-13-GONB-SEN-042";"2018-07-13_GONB_01B_363273";;60;90;1;;;;;"Palourdes";;30;;"Non renseignée";;30.0;;"Non renseignée";
"2018-07-13-GONB-SEN-043";"2018-07-13_GONB_01B_363280";;80;90;1;;;;;"Palourdes";;32;;"Non renseignée";;32.0;;"Non renseignée";
"2018-07-13-GONB-SEN-043";"2018-07-13_GONB_01B_363280";;80;90;1;;;;;"Palourdes";;24;;"Non renseignée";;24.0;;"Non renseignée";
"2018-07-13-GONB-SEN-044";"2018-07-13_GONB_01B_363288";;45;75;2;;;;;"Palourdes";;45;;"Non renseignée";;45.0;;"Non renseignée";
"2018-07-13-GONB-SEN-044";"2018-07-13_GONB_01B_363288";;45;75;2;;;;;"Coques";;36;;"Non renseignée";;36.0;;"Non renseignée";
"2018-07-13-GONB-SEN-045";"2018-07-13_GONB_01B_363296";"14:00";30;90;1;"Non";;;;"Coques";;34;;"Non renseignée";;34.0;;"Non renseignée";
"2018-07-13-GONB-SEN-045";"2018-07-13_GONB_01B_363296";"14:00";30;90;1;"Non";;;;"Palourdes";;33;;"Non renseignée";;33.0;;"Non renseignée";
"2018-07-13-GONB-SEN-046";"2018-07-13_GONB_01B_363310";"13:00";90;90;1;;;;;"Coques";;19;;"Non renseignée";;19.0;;"Non renseignée";
"2018-07-13-GONB-SEN-046";"2018-07-13_GONB_01B_363310";"13:00";90;90;1;;;;;"Palourdes";;117;;"Non renseignée";;117.0;;"Non renseignée";
"2018-07-13-GONB-SEN-047";"2018-07-13_GONB_01B_363333";;60;60;2;"Non";;;;"Couteaux";;64;;"Non renseignée";;60.0;;"Non renseignée";
"2018-07-13-GONB-SEN-048";"2018-07-13_GONB_01B_363352";;10;30;6;;;;;"Palourdes";;1;;"Non renseignée";;1.0;;"Non renseignée";
"2018-07-13-GONB-SEN-049";"2018-07-13_GONB_01B_363370";;5;15;1;"Non";;;;"Couteaux";;6;;"Non renseignée";;5.0;;"Non renseignée";
"2018-06-14-GONB-SEN-036";"2018-06-14_GONB_01B_363387";;20;80;2;;;;;"Palourdes";;6;;"Non renseignée";;5.0;;"Non renseignée";
"2018-06-14-GONB-SEN-036";"2018-06-14_GONB_01B_363387";;20;80;2;;;;;"Coques";;2;;"Non renseignée";;2.0;;"Non renseignée";
"2018-06-14-GONB-SEN-037";"2018-06-14_GONB_01B_363399";;60;90;1;;;;;"Coques";;12;;"Non renseignée";;12.0;;"Non renseignée";
"2018-06-14-GONB-SEN-037";"2018-06-14_GONB_01B_363399";;60;90;1;;;;;"Palourdes";;34;;"Non renseignée";;34.0;;"Non renseignée";
"2018-06-14-GONB-SEN-038";"2018-06-14_GONB_01B_363411";;75;75;1;;;;;"Coques";;18;;"Non renseignée";;16.0;;"Non renseignée";
"2018-06-14-GONB-SEN-038";"2018-06-14_GONB_01B_363411";;75;75;1;;;;;"Bulot";;1;;"Non renseignée";;1.0;;"Non renseignée";
"2018-06-14-GONB-SEN-038";"2018-06-14_GONB_01B_363411";;75;75;1;;;;;"Amande de mer";;1;;"Non renseignée";;0.0;;"Non renseignée";
"2018-06-14-GONB-SEN-038";"2018-06-14_GONB_01B_363411";;75;75;1;;;;;"Palourdes";;51;;"Non renseignée";;28.0;;"Non renseignée";
"2018-05-25-GONB-SEN-002";"2018-05-25_GONB_01B_363427";;110;110;1;"Non";;;;"Coques";1900.0;;;"Non renseignée";1900.0;;;"Non renseignée";
"2018-05-25-GONB-SEN-002";"2018-05-25_GONB_01B_363427";;110;110;1;"Non";;;;"Palourdes";2684.0;;;"Non renseignée";2550.0;;;"Non renseignée";
"2018-05-25-GONB-SEN-003";"2018-05-25_GONB_01B_363442";;60;60;1;;;;;"Palourdes";;18;;"Non renseignée";;18.0;;"Non renseignée";
"2018-05-25-GONB-SEN-003";"2018-05-25_GONB_01B_363442";;60;60;1;;;;;"Coques";;8;;"Non renseignée";;8.0;;"Non renseignée";
"2018-05-25-GONB-SEN-004";"2018-05-25_GONB_01B_363450";;60;60;1;"Non";;;;"Palourdes";;100;;"Non renseignée";;100.0;;"Non renseignée";
"2018-05-25-GONB-SEN-005";"2018-05-25_GONB_01B_363492";;90;90;1;"Non";;;;"Coques";;30;;"Non renseignée";;30.0;;"Non renseignée";
"2018-05-25-GONB-SEN-005";"2018-05-25_GONB_01B_363492";;90;90;1;"Non";;;;"Palourdes";;120;;"Non renseignée";;120.0;;"Non renseignée";
"2018-04-18-GONB-SEN-015";"2018-04-18_GONB_01B_363500";;90;90;1;"Non";;;;"Coquille Saint-Jacques";4300.0;20;;"Non renseignée";4300.0;20.0;;"Non renseignée";
"2018-04-18-GONB-SEN-016";"2018-04-18_GONB_01B_363507";;120;120;1;;;;;"Coquille Saint-Jacques";2000.0;;;"Estimée";2000.0;;;"Estimée";
"2018-04-18-GONB-SEN-017";"2018-04-18_GONB_01B_363514";;30;30;2;"Non";;;;"Amande de mer";1800.0;42;;"Non renseignée";1740.0;40.0;;"Non renseignée";
"2018-05-16-GONB-SEN-051";"2018-05-16_GONB_01B_363521";;60;60;2;"Non";;;;"Coquille Saint-Jacques";1200.0;6;;"Non renseignée";;6.0;;"Non renseignée";
"2018-05-16-GONB-SEN-051";"2018-05-16_GONB_01B_363521";;60;60;2;"Non";;;;"Amande de mer";;12;;"Non renseignée";;9.0;;"Non renseignée";
"2018-05-16-GONB-SEN-052";"2018-05-16_GONB_01B_363546";;60;60;1;;;;;"Bouquet";600.0;;;"Non renseignée";400.0;;;"Non renseignée";
"2018-05-16-GONB-SEN-053";"2018-05-16_GONB_01B_363554";;110;110;3;;;;;"Couteaux";;9;;"Non renseignée";;2.0;;"Non renseignée";
"2018-05-16-GONB-SEN-054";"2018-05-16_GONB_01B_363562";;120;120;3;;;;;"Couteaux";;53;;"Non renseignée";;34.0;;"Non renseignée";
"2018-08-21-GONB-SEN-001";"2018-08-21_GONB_02B_363572";;60;90;1;"Non";;;;"Etrille";;3;;"Non renseignée";;1.0;;"Non renseignée";
"2018-08-13-GONB-SEN-067";"2018-08-13_GONB_02B_363579";;45;60;3;;;;;"Couteaux";;26;;"Non renseignée";;14.0;;"Non renseignée";
"2018-08-13-GONB-SEN-068";"2018-08-13_GONB_02B_363589";;120;120;1;;;;;"Palourdes";1000.0;;;"Non renseignée";800.0;;;"Non renseignée";
"2018-08-13-GONB-SEN-068";"2018-08-13_GONB_02B_363589";;120;120;1;;;;;"Spisule, Mactre solide";1000.0;;;"Non renseignée";800.0;;;"Non renseignée";
"2018-08-13-GONB-SEN-068";"2018-08-13_GONB_02B_363589";;120;120;1;;;;;"Praire";;2;;"Non renseignée";;2.0;;"Non renseignée";
"2018-08-13-GONB-SEN-069";"2018-08-13_GONB_02B_363599";;80;110;1;;;;;"Palourdes";;5;;"Non renseignée";;2.0;;"Non renseignée";
"2018-08-13-GONB-SEN-069";"2018-08-13_GONB_02B_363599";;80;110;1;;;;;"Praire";;40;;"Non renseignée";;20.0;;"Non renseignée";
"2018-08-13-GONB-SEN-070";"2018-08-13_GONB_02B_363607";;90;90;3;"Non";;;;"Praire";;5;;"Non renseignée";;2.0;;"Non renseignée";
"2018-08-13-GONB-SEN-070";"2018-08-13_GONB_02B_363607";;90;90;3;"Non";;;;"Palourdes";;40;;"Non renseignée";;17.0;;"Non renseignée";
"2018-06-14-GONB-SEN-038";"2018-06-14_GONB_02B_363668";;60;90;2;;;;;"Tourteau";;1;;"Non renseignée";;0.0;;"Non renseignée";
"2018-06-14-GONB-SEN-040";"2018-06-14_GONB_02B_363675";;60;90;1;;;;;"Bouquet";;30;;"Non renseignée";;30.0;;"Non renseignée";
"2018-06-13-GONB-SEN-050";"2018-06-13_GONB_02B_363682";;2;45;4;"Oui";;;
"2018-06-13-GONB-SEN-051";"2018-06-13_GONB_02B_363689";;20;65;2;;;;;"Araignée de mer";;1;;"Non renseignée";;0.0;;"Non renseignée";
"2018-06-13-GONB-SEN-051";"2018-06-13_GONB_02B_363689";;20;65;2;;;;;"Etrille";;3;;"Non renseignée";;3.0;;"Non renseignée";
"2018-04-18-GONB-SEN-018";"2018-04-18_GONB_02B_363697";;75;75;3;"Non";;;;"Moules";4700.0;151;;"Non renseignée";4700.0;151.0;;"Non renseignée";
"2018-04-18-GONB-SEN-019";"2018-04-18_GONB_02B_363704";;75;95;3;"Non";;;;"Crevettes";;4;;"Non renseignée";;;;"Non renseignée";
"2018-04-18-GONB-SEN-019";"2018-04-18_GONB_02B_363704";;75;95;3;"Non";;;;"Etrille";;1;;"Non renseignée";;;;"Non renseignée";
"2018-04-27-GONB-SEN-002";"2018-04-27_GONB_02B_363712";;30;60;1;"Non";;;;"Arénicoles";;10;;"Non renseignée";;;;"Non renseignée";
"2018-08-16-GONB-SEN-029";"2018-08-16_GONB_02B_363719";;60;80;1;"Non";;;;"Bigorneaux";;3;;"Non renseignée";;;;"Non renseignée";
"2018-08-16-GONB-SEN-029";"2018-08-16_GONB_02B_363719";;60;80;1;"Non";;;;"Couteaux";;3;;"Non renseignée";;3.0;;"Non renseignée";
