"Libellé Sortie";"Code Enquète";"Membre Association";"Nom Association";"Espéce maille";"declaration Connaissance";"Taille déclarée";"connaissance réglementation";"Utilisation outil";"Source outil";"Type d'outil";"Outil Conforme";"Espèce quantité";"Connaissance quota";"Quantité déclarée";"Unite";"Reglementation Quantité";"Espèce période";"Connaissance Période";"Périodes Déclarées";"Connaissance Règlementation Période";"Informé Législation";"Source information législation";"Conseils consommation"
"2018-08-31-GUER-SEN-020";"2018-08-31_GUER_3B_392758";"Non renseigné";;"Palourdes croisées";"Oui";;"Non renseigné";"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Oui";"presse";"Réponse incorrecte";"Oui";"Panneau d'information/affichage | Médias (journaux, radios, tv)";"Non renseigné"
"2018-08-31-GUER-SEN-035";"2018-08-31_GUER_3B_392768";"Non renseigné";;"Palourdes croisées";"Oui";;"Réponse incorrecte ou NSP";"Non";;;;"Palourdes croisées";"Oui";2;"kg";"Réponse inférieure";"Palourdes croisées";"Ne sait pas";;"Réponse incorrecte";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";"Non renseigné"
"2018-08-31-GUER-SEN-035";"2018-08-31_GUER_3B_392784";;;"Coque commune";"Oui";;"Réponse incorrecte ou NSP";"Non";;;;"Coque commune";"Oui";;;"Réponse incorrecte ou NSP";"Coque commune";"Oui";"autorisé sauf en période de reproduction";"Réponse incorrecte";;"Médias (journaux, radios, tv)";"Non renseigné"
"2018-08-31-GUER-SEN-035";"2018-08-31_GUER_3B_392797";;;"Palourdes croisées";"Oui";;"Réponse incorrecte ou NSP";"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Ne sait pas";;"Ne sait pas";"Non";"Aucune";"Non renseigné"
"2018-08-31-GUER-SEN-025";"2018-08-31_GUER_3B_392810";"Non renseigné";;"Coque commune";"Oui";30;"Réponse correcte";"Non";;;;"Coque commune";"Oui";3;"kg";"Réponse correcte";"Coque commune";"Pas de période";;"Réponse correcte";"Non";"Aucune";"Non renseigné"
"2018-08-31-GUER-SEN-036";"2018-08-31_GUER_3B_392821";;;"Palourdes croisées";"Oui";;"Réponse incorrecte ou NSP";;"Artisanal";;;"Palourdes croisées";"Oui";10;"Nb";"Réponse correcte";"Palourdes croisées";"Ne sait pas";;"Ne sait pas";"Oui";"Panneau d'information/affichage";"Non renseigné"
"2019-03-05-GUER-SEN-001";"2019-03-05_GUER_3A_392904";;;"Palourdes croisées";"Oui";40;"Réponse supérieure";"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Pas de période";;"Réponse correcte";"Oui";"Annuaire des marées | Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Non renseigné"
"2018-08-31-GUER-SEN-026";"2018-08-31_GUER_3B_392919";"Non renseigné";;"Palourdes croisées";"Oui";;;"Non";;;;"Palourdes croisées";"Oui";;;"Réponse correcte";;"Ne sait pas";;"Ne sait pas";"Oui";"Panneau d'information/affichage";
"2018-08-31-GUER-SEN-035";"2018-08-31_GUER_3B_392934";;;"Palourdes croisées";"Oui";40;"Réponse correcte";"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";;"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage";
"2019-02-26-GUER-SEN-001";"2019-02-26_GUER_3A_392937";;;"Coques";"Oui";30;"Réponse correcte";"Non";;;;"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Ne sait pas";;"Ne sait pas";"Oui";"Panneau d'information/affichage";
"2018-08-31-GUER-SEN-035";"2018-08-31_GUER_3B_392945";"Non renseigné";;"Palourdes croisées";"Oui";35;;"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Pas de période";;"Réponse correcte";"Oui";"Internet / Applications mobiles";"Non renseigné"
"2018-08-31-GUER-SEN-031";"2018-08-31_GUER_3B_392959";"Non renseigné";;"Palourdes croisées";"Oui";35;;"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Oui";;"Réponse incorrecte";"Oui";"Internet / Applications mobiles";"Non renseigné"
"2018-08-31-GUER-SEN-030";"2018-08-31_GUER_3B_392969";;;"Coques";"Oui";30;"Réponse correcte";"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";"Coques";"Oui";4;"kg";"Réponse supérieure";"Coques";"Ne sait pas";;"Ne sait pas";"Oui";"Campagne de sensibilisation | Internet / Applications mobiles";
"2018-08-31-GUER-SEN-035";"2018-08-31_GUER_3B_392976";"Non renseigné";;"Coque commune";"Oui";;;"Oui";"Commerce";;"Oui";"Coque commune";"Oui";1;"kg";"Réponse inférieure";"Coque commune";"Oui";"Septembre à Août ";"Réponse incorrecte";;"Culture locale / habitude | Ifremer / SHOM / ARS";"Non renseigné"
"2018-08-31-GUER-SEN-035";"2018-08-31_GUER_3B_392989";"Non renseigné";;"Palourdes croisées";"Oui";35;;"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";"Non renseigné"
"2018-08-31-GUER-SEN-033";"2018-08-31_GUER_3B_392992";;;"Palourdes";"Oui";40;"Réponse supérieure";"Non";;;"Non renseigné";"Palourdes";"Oui";1;"kg";"Réponse inférieure";"Palourdes";"Pas de période";;"Réponse correcte";;"Panneau d'information/affichage";
"2018-08-31-GUER-SEN-034";"2018-08-31_GUER_3B_393009";;;"Coques";"Oui";40;"Réponse supérieure";"Non";;;"Non renseigné";"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Ne sait pas";;"Ne sait pas";"Non renseigné";"";
"2019-02-26-GUER-SEN-003";"2019-02-26_GUER_3B_393045";;;"Coques";"Oui";;;"Non";;;;"Coques";"Ne sait pas";;;"Non renseigné";"Coques";"Ne sait pas";;"Ne sait pas";"Non renseigné";"Aucune";"Non renseigné"
"2019-03-05-GUER-SEN-002";"2019-03-05_GUER_3B_393059";;;"Coques";"Oui";20;"Réponse inférieure";"Oui";"Artisanal";"Artisanal";"Non";"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Oui";"celles sur le panneau d'info";"Réponse correcte";"Oui";"Panneau d'information/affichage";
"2019-03-12-GUER-SEN-001";"2019-03-12_GUER_3A_393121";;;"Palourdes";"Oui";35;"Réponse correcte";"Non";;;;"Palourdes";"Ne sait pas";;;"Réponse correcte";;"Ne sait pas";;"Ne sait pas";"Non renseigné";"Aucune";
"2019-03-12-GUER-SEN-003";"2019-03-12_GUER_3A_393105";;;"Palourdes";"Oui";;;"Oui";"Commerce";"Commerce";"Oui";"Palourdes";"Oui";3;"kg";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Internet / Applications mobiles";
"2018-08-31-GUER-SEN-034";"2018-08-31_GUER_3B_393120";"Non renseigné";;"Coques";"Oui";40;;"Non";;;;"Coques";"Oui";3;"kg";"Réponse correcte";"Coques";"Ne sait pas";;"Ne sait pas";"Non renseigné";"Aucune";
"2019-02-27-GUER-SEN-001";"2019-02-27_GUER_3A_393133";;;"Palourdes";"Oui";35;"Réponse correcte";"Non";;;"Non renseigné";"Palourdes";"Oui";3;"kg";"Réponse correcte";"Palourdes";"Oui";;"Réponse incorrecte";"Oui";"Médias (journaux, radios, tv)";
"2018-08-31-GUER-SEN-038";"2018-08-31_GUER_3B_393142";"Non renseigné";;"Coques";"Oui";30;"Réponse correcte";"Oui mais pas aujourd'hui";;"Campagne de sensibilisation";"Oui";"Coques";"Oui";4;"kg";"Réponse supérieure";"Coques";"Ne sait pas";;"Ne sait pas";"Oui";"Campagne de sensibilisation | Internet / Applications mobiles";
"2018-08-31-GUER-SEN-036";"2018-08-31_GUER_3B_393150";;;"Palourdes";"Ne sait pas";;;"Non";;;;"Palourdes";"Ne sait pas";;;"Réponse correcte";"Palourdes";"Ne sait pas";;"Ne sait pas";"Non renseigné";"Aucune";
"2018-08-31-GUER-SEN-037";"2018-08-31_GUER_3B_393153";;;"Palourdes croisées";"Oui";40;"Réponse correcte";"Non";;;;"Palourdes croisées";"Oui";1;"kg";"Réponse inférieure";"Palourdes croisées";"Pas de période";;"Réponse correcte";"Non renseigné";"Panneau d'information/affichage";"Non renseigné"
"2019-03-13-GUER-SEN-001";"2019-03-13_GUER_3A_393165";;;"Bigorneaux";"Oui";;;"Non";;;;"Bigorneaux";"Ne sait pas";;;"Non renseigné";"Bigorneaux";"Oui";;"Ne sait pas";"Oui";"Guides du commerce / Livres / Revues";
"2019-03-13-GUER-SEN-002";"2019-03-13_GUER_3A_393168";;;"Palourdes";"Oui";30;"Réponse inférieure";"Oui";"Anatomique (phalange, largeur de paume, pouce…)";"Anatomique (phalange, largeur de paume, pouce…)";"Non";"Palourdes";"Ne sait pas";;;"Réponse correcte";"Palourdes";"Ne sait pas";;"Ne sait pas";"Oui";"Panneau d'information/affichage";
"2018-10-12-GUER-SEN-005";"2018-10-12_GUER_3B_393189";;;"Palourdes croisées";"Oui";35;"Réponse correcte";"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Ne sait pas";;"Ne sait pas";"Oui";"Panneau d'information/affichage | Internet / Applications mobiles";"Non renseigné"
"2018-10-12-GUER-SEN-006";"2018-10-12_GUER_3B_393199";;;"Coque commune";"Oui";30;"Réponse correcte";"Oui";"Commerce";"Crible";"Oui";"Coque commune";"Oui";5;"kg";"Réponse supérieure";"Coque commune";"Ne sait pas";;"Ne sait pas";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Médias (journaux, radios, tv)";
"2018-10-12-GUER-SEN-007";"2018-10-12_GUER_3B_393202";;;"Coques";"Oui";30;;"Oui";"Commerce";;"Oui";"Coques";"Oui";4;"kg";"Réponse correcte";"Coques";"Oui";"15 septembre";"Réponse correcte";;"Aucune";
"2019-03-19-GUER-SEN-001";"2019-03-19_GUER_3B_393392";"Non renseigné";;"Palourdes";"Ne sait pas";;;"Oui";;;"Non renseigné";"Palourdes";"Oui";3;"kg";"Réponse correcte";"Palourdes";"Oui";"toute l'année";"Réponse correcte";"Oui";"Médias (journaux, radios, tv)";"Non renseigné"
"2019-03-19-GUER-SEN-002";"2019-03-19_GUER_3A_393390";;;"Palourdes";"Oui";35;"Réponse supérieure";"Oui";"Artisanal";"Artisanal";"Oui";"Palourdes";"Oui";3;"kg";"Réponse correcte";"Palourdes";"Ne sait pas";;"Ne sait pas";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";
"2019-03-19-GUER-SEN-003";"2019-03-19_GUER_3B_393391";;;"Palourdes croisées";"Oui";35;"Réponse correcte";"Non";;;;"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Pas de période";;"Réponse correcte";;"Annuaire des marées";"Non renseigné"
"2019-03-19-GUER-SEN-005";"2019-03-19_GUER_3A_393405";;;"Palourdes croisées";"Oui";35;"Réponse correcte";"Oui";"Anatomique (phalange, largeur de paume, pouce…)";"Anatomique (phalange, largeur de paume, pouce…)";"Non renseigné";"Palourdes croisées";"Oui";3;"kg";"Réponse correcte";"Palourdes croisées";"Oui";"Toute l'année";"Réponse correcte";;"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Non renseigné"
"2019-03-19-GUER-SEN-005";"2019-03-19_GUER_3A_393408";;;"Palourdes";"Oui";3;"Réponse correcte";"Non";;;"Non renseigné";"Palourdes";"Oui";3;"kg";"Réponse correcte";"Palourdes";"Pas de période";;"Réponse correcte";"Oui";"Annuaire des marées";
"2019-03-19-GUER-SEN-006";"2019-03-19_GUER_3A_393422";;;"Coque commune";"Oui";40;"Réponse supérieure";"Oui mais pas aujourd'hui";"Commerce";"Commerce";"Oui";"Coque commune";"Oui";3;"kg";"Réponse correcte";"Coque commune";"Pas de période";;"Réponse correcte";"Oui";"Panneau d'information/affichage | Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …)";
"2019-03-19-GUER-SEN-007";"2019-03-19_GUER_3A_393433";"Non renseigné";;"Coques";"Ne sait pas";;;"Non";;;;"Coques";"Ne sait pas";;;"Réponse correcte";;"Ne sait pas";;"Ne sait pas";;"Internet / Applications mobiles";
"2019-03-19-GUER-SEN-008";"2019-03-19_GUER_3A_393432";;;"Palourdes";"Oui";30;"Réponse correcte";"Non";;;"Non renseigné";"Palourdes";"Oui";3;"kg";"Réponse correcte";"Palourdes";"Ne sait pas";;"Réponse correcte";"Oui";"Bouche à oreille (autres pêcheurs, entourage, magasins, structures professionnelles …) | Guides du commerce / Livres / Revues";
"2019-03-26-GUER-SEN-001";"GUER_3A_393630";"Non renseigné";;"Vers";"espèce sans maille";;"Réponse correcte";"Non renseigné";;;;"Vers";"Pas de quota";;;"Réponse incorrecte ou NSP";"Vers";"Pas de période";;"Réponse correcte";"Oui";"Capitainerie / Club Nautique / Préfecture / Affaires maritimes / Mairies ";"Non renseigné"
"2019-03-21-ORNE-SEN-025";"2019-03-21_ORNE_04_393734";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-027";"2019-03-21_ORNE_04_393741";;;;;;;"Oui";"Artisanal";"Artisanal";"Oui";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-096";"2019-03-21_ORNE_04_393748";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-029";"2019-03-21_ORNE_04_393754";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-030";"2019-03-21_ORNE_04_393760";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-031";"2019-03-21_ORNE_04_393766";;;;;;;"Non renseigné";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-032";"2019-03-21_ORNE_04_393772";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-033";"2019-03-21_ORNE_04_393778";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-034";"2019-03-21_ORNE_04_393784";;;;;;;"Oui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Oui";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-035";"2019-03-21_ORNE_04_393790";;;;;;;"Oui";"Artisanal";"Artisanal";"Oui";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-036";"2019-03-21_ORNE_04_393796";;;;;;;"Oui";"Artisanal";"Artisanal";"Oui";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-037";"2019-03-21_ORNE_05_393802";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-038";"2019-03-21_ORNE_05_393808";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-039";"2019-03-21_ORNE_05_393814";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-040";"2019-03-21_ORNE_04_393824";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-041";"2019-03-21_ORNE_04_393830";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-042";"2019-03-21_ORNE_04_393836";;;;;;;"Non";;;;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-043";"2019-03-21_ORNE_04_393842";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-044";"2019-03-21_ORNE_04_393848";;;;;;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-045";"2019-03-21_ORNE_04_393854";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-046";"2019-03-21_ORNE_04_393860";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-047";"2019-03-21_ORNE_04_393866";;;;;;;"Oui mais pas aujourd'hui";"Campagne de sensibilisation";"Campagne de sensibilisation";"Non";;;;;;;;;;;"";
"2019-03-21-ORNE-SEN-048";"2019-03-21_ORNE_04_393872";;;;;;;"Non";"Aucun outil";"Aucun outil";;;;;;;;;;;;"";
