"Libellé Sortie";"Code Enquète";"Commune résidence";"Département";"Pays";"De passage";"Commune séjour";"Durée séjour";"Hebergement";"Premier Séjour";"Fréquence Visites";"Influence Destination";"Influence Date";"Sexe - Pécheur";"Annee Naissance - Pécheur";"CSP - Pécheur";"Sexe - Autre membre";"Annee Naissance - Autre membre";"CSP - Autre membre";"Tri récolte";"Accueil";"Sensibilisation";"Remarques pécheur";"Précisions remarques"
"2018-07-16-LEGD-SEN-022";"2018-07-16_LEGD_00_360392";"GUISSENY";;;"en séjour sur une commune";;;;;;;;"M";1952;"7-76-77_Anciens employés";;;;"Récolte conforme";"Bon";"Oui";"";"- Vise de pêcher environ un bon kilo"
"2018-07-16_LEGD_00_360399";"2018-07-16-LEGD-SEN-024";"LESNEVEN";;;"pour la journée";;;;"Non renseigné";;;;"F";1946;"7_Retraités";"F";2005;;"Tri complet";"Moyen";"Oui";"";"- La personne interrogée peu accueillante. Bon accueil petits enfants "
"2018-07-16_LEGD_00_360399";"2018-07-16-LEGD-SEN-024";"LESNEVEN";;;"pour la journée";;;;"Non renseigné";;;;"F";1946;"7_Retraités";"F";2005;;"Tri complet";"Moyen";"Oui";"";"- La personne interrogée peu accueillante. Bon accueil petits enfants "
"2018-07-16_LEGD_00_360399";"2018-07-16-LEGD-SEN-024";"LESNEVEN";;;"pour la journée";;;;"Non renseigné";;;;"F";1946;"7_Retraités";"F";1955;"7_Retraités";"Tri complet";"Moyen";"Oui";"";"- La personne interrogée peu accueillante. Bon accueil petits enfants "
"2018-07-16_LEGD_00_360399";"2018-07-16-LEGD-SEN-024";"LESNEVEN";;;"pour la journée";;;;"Non renseigné";;;;"F";1946;"7_Retraités";"F";2009;;"Tri complet";"Moyen";"Oui";"";"- La personne interrogée peu accueillante. Bon accueil petits enfants "
"2018-07-16_LEGD_00_360412";"2018-07-16-LEGD-SEN-025";"GUISSENY";;;"en séjour sur une commune";"GUISSENY";15;"Location/Hotel";"Oui";;"Non, secondaire";"Non, secondaire";"M";1979;"3_Cadres et professions intellectuelles supérieures";"M";2013;;"Récolte conforme";"Bon";"Oui";"";"s'est +tôt bien renseigné. Ne pensait pas indispensable de dégorger. Famille allemande de Leipzig"
"2018-07-16_LEGD_00_360412";"2018-07-16-LEGD-SEN-025";"GUISSENY";;;"en séjour sur une commune";"GUISSENY";15;"Location/Hotel";"Oui";;"Non, secondaire";"Non, secondaire";"M";1979;"3_Cadres et professions intellectuelles supérieures";"F";2009;;"Récolte conforme";"Bon";"Oui";"";"s'est +tôt bien renseigné. Ne pensait pas indispensable de dégorger. Famille allemande de Leipzig"
"2018-07-16_LEGD_00_360412";"2018-07-16-LEGD-SEN-025";"GUISSENY";;;"en séjour sur une commune";"GUISSENY";15;"Location/Hotel";"Oui";;"Non, secondaire";"Non, secondaire";"M";1979;"3_Cadres et professions intellectuelles supérieures";"F";1985;"3_Cadres et professions intellectuelles supérieures";"Récolte conforme";"Bon";"Oui";"";"s'est +tôt bien renseigné. Ne pensait pas indispensable de dégorger. Famille allemande de Leipzig"
"2018-07-16_LEGD_00_360440";"2018-07-16-LEGD-SEN-026";"PLOUDANIEL";;;"pour la journée";;;;"Non";;;;"M";1957;"7-76-77_Anciens employés";"M";1990;"0_Non Renseigné";"Récolte conforme";"Bon";"Oui";"";"Très content d'avoir été enquêté"
"2018-07-16-LEGD-SEN-027";"2018-07-16_LEGD_00_360448";"PLOUDANIEL";;;"en séjour sur une commune";"KERLOUAN";10;"Résidence secondaire";"Non";30.0;"Non, secondaire";"Non, secondaire";"F";1956;"7-76-77_Anciens employés";;;;"Tri complet";"Bon";"Oui";"";"Se sont mis véritablement à la pêche suite à leur achat résidence secondaire en bord de baie
"
"2018-07-16_LEGD_00_360455";"2018-07-16-LEGD-SEN-028";"CARHAIX PLOUGUER";;;"en séjour sur une commune";"KERLOUAN";3;"Camping";"Non";2.0;"Non, secondaire";"Non, secondaire";"F";1977;"4_Professions Intermédiaires";"F";2011;;"Tri complet";"Bon";"Oui";"";"Auraient probablement refait du tri (enfants récoltaient beaucoup de petites)"
"2018-07-16_LEGD_00_360455";"2018-07-16-LEGD-SEN-028";"CARHAIX PLOUGUER";;;"en séjour sur une commune";"KERLOUAN";3;"Camping";"Non";2.0;"Non, secondaire";"Non, secondaire";"F";1977;"4_Professions Intermédiaires";"M";1950;"7_Retraités";"Tri complet";"Bon";"Oui";"";"Auraient probablement refait du tri (enfants récoltaient beaucoup de petites)"
"2018-07-16_LEGD_00_360455";"2018-07-16-LEGD-SEN-028";"CARHAIX PLOUGUER";;;"en séjour sur une commune";"KERLOUAN";3;"Camping";"Non";2.0;"Non, secondaire";"Non, secondaire";"F";1977;"4_Professions Intermédiaires";"F";2005;;"Tri complet";"Bon";"Oui";"";"Auraient probablement refait du tri (enfants récoltaient beaucoup de petites)"
